Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
05/07/2023	UPA Sacadura Cabral	Quarta-feira	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	79	68	73	70	59	37	36	18	16
06/07/2023	UPA Sacadura Cabral	Quinta-feira	23	22	28	38	61	68	83	85	95	56	64	64	57	58	83	68	52	49	40	42	16	15	28	11
07/07/2023	UPA Sacadura Cabral	Sexta-feira	12	26	35	43	74	74	81	70	79	100	77	49	65	29	63	65	51	56	63	45	29	46	14	27
08/07/2023	UPA Sacadura Cabral	Sábado	26	23	18	35	43	49	59	63	65	38	57	59	66	71	55	58	37	35	49	23	30	23	19	21
09/07/2023	UPA Sacadura Cabral	Domingo	18	31	24	30	34	35	48	62	53	53	58	61	56	68	65	70	81	46	44	39	32	20	15	11
10/07/2023	UPA Sacadura Cabral	Segunda-feira	15	5	27	41	60	74	72	73	59	60	55	67	61	69	88	91	90	78	72	62	51	39	38	30
11/07/2023	UPA Sacadura Cabral	Terça-feira	27	19	36	49	59	72	84	84	88	89	67	77	86	69	59	56	72	81	81	81	62	49	26	21
12/07/2023	UPA Sacadura Cabral	Quarta-feira	16	8	31	44	61	83	82	98	71	55	57	55	76	61	76	62	47	59	66	42	33	29	44	27
13/07/2023	UPA Sacadura Cabral	Quinta-feira	9	29	34	31	53	54	75	61	69	41	64	30	46	47	42	78	80	81	42	55	37	32	21	17
14/07/2023	UPA Sacadura Cabral	Sexta-feira	20	27	19	34	51	72	74	78	69	73	54	37	49	63	55	49	56	41	51	51	39	23	23	21
15/07/2023	UPA Sacadura Cabral	Sábado	12	12	18	32	37	42	31	42	59	59	60	50	55	46	52	59	48	52	50	32	28	13	15	19
16/07/2023	UPA Sacadura Cabral	Domingo	15	10	10	22	36	41	40	40	56	63	56	57	59	58	65	58	50	45	50	31	28	29	21	25
17/07/2023	UPA Sacadura Cabral	Segunda-feira	15	11	20	34	35	40	46	52	53	48	47	68	68	76	67	81	69	65	85	80	48	40	33	23
18/07/2023	UPA Sacadura Cabral	Terça-feira	5	10	15	25	50	57	60	45	65	65	65	74	79	NA	57	58	63	83	77	56	26	22	7	10
19/07/2023	UPA Sacadura Cabral	Quarta-feira	5	11	14	33	48	42	54	37	53	59	57	53	67	54	48	63	65	71	65	54	31	18	22	11
20/07/2023	UPA Sacadura Cabral	Quinta-feira	18	17	19	38	58	51	45	50	47	53	65	48	39	41	54	81	85	87	65	51	39	33	28	21
21/07/2023	UPA Sacadura Cabral	Sexta-feira	2	7	15	23	43	46	55	43	24	44	45	55	53	36	32	46	63	58	60	54	38	33	38	28
22/07/2023	UPA Sacadura Cabral	Sábado	18	14	16	24	32	39	35	40	48	50	50	72	68	83	73	53	47	38	47	38	25	28	20	10
23/07/2023	UPA Sacadura Cabral	Domingo	19	0	8	12	32	29	26	33	49	49	45	50	47	53	42	52	54	51	45	56	41	45	27	18
24/07/2023	UPA Sacadura Cabral	Segunda-feira	1	19	10	31	38	51	46	52	51	49	49	56	42	42	50	64	64	52	37	41	15	12	12	19
25/07/2023	UPA Sacadura Cabral	Terça-feira	15	2	16	36	47	50	44	42	34	46	54	47	50	39	48	59	54	45	50	39	37	19	26	20
26/07/2023	UPA Sacadura Cabral	Quarta-feira	5	12	13	36	55	59	56	58	56	60	41	52	46	55	53	61	53	62	51	36	43	30	19	14
27/07/2023	UPA Sacadura Cabral	Quinta-feira	6	11	15	28	47	57	48	50	65	80	64	50	54	41	57	58	58	58	50	43	33	22	17	10
28/07/2023	UPA Sacadura Cabral	Sexta-feira	7	10	11	35	58	64	58	48	59	75	49	45	45	70	68	65	67	57	48	38	30	32	17	18
29/07/2023	UPA Sacadura Cabral	Sábado	0	17	21	34	26	41	41	46	53	4	46	54	60	47	56	47	46	58	54	49	34	23	19	18
30/07/2023	UPA Sacadura Cabral	Domingo	11	9	24	28	32	24	21	21	51	42	41	67	55	72	61	55	51	38	36	46	21	15	9	10
31/07/2023	UPA Sacadura Cabral	Segunda-feira	14	8	15	24	38	53	45	54	51	48	39	53	51	65	82	90	90	61	75	58	42	28	10	16
01/08/2023	UPA Sacadura Cabral	Terça-feira	8	7	11	36	52	80	65	64	52	63	69	53	54	50	68	80	81	66	50	33	27	11	26	18
02/08/2023	UPA Sacadura Cabral	Quarta-feira	19	15	12	27	43	58	44	51	58	62	60	61	50	46	52	63	86	94	60	38	9	15	5	11
03/08/2023	UPA Sacadura Cabral	Quinta-feira	14	12	7	27	45	55	44	41	36	47	59	48	34	40	54	74	77	77	58	53	29	21	21	20
