Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
05/07/2023	UPA St. John - Lavras	Quarta-feira	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	68	82	63	56	56	46	47	14	13
06/07/2023	UPA St. John - Lavras	Quinta-feira	20	27	40	37	55	72	78	77	63	54	56	57	53	68	NA	59	82	77	82	46	57	40	23	29
07/07/2023	UPA St. John - Lavras	Sexta-feira	26	37	40	60	68	71	79	98	76	68	61	57	60	65	65	77	69	69	43	60	55	47	26	30
08/07/2023	UPA St. John - Lavras	Sábado	21	30	30	39	50	54	57	65	67	51	47	43	45	50	83	88	80	56	59	68	58	38	34	33
09/07/2023	UPA St. John - Lavras	Domingo	31	24	53	58	59	42	50	55	76	69	64	60	78	37	50	56	50	46	55	51	41	33	22	14
10/07/2023	UPA St. John - Lavras	Segunda-feira	18	27	44	56	72	50	70	63	78	53	59	79	44	68	75	86	92	64	61	73	65	46	34	40
11/07/2023	UPA St. John - Lavras	Terça-feira	36	52	32	53	74	63	86	100	100	76	75	75	75	89	93	78	98	64	76	73	59	44	20	17
12/07/2023	UPA St. John - Lavras	Quarta-feira	11	32	35	48	58	54	75	71	73	55	56	59	56	57	44	74	89	76	74	65	40	41	58	46
13/07/2023	UPA St. John - Lavras	Quinta-feira	42	33	43	42	64	69	67	82	80	64	46	45	48	63	53	47	66	51	64	60	48	25	22	11
14/07/2023	UPA St. John - Lavras	Sexta-feira	18	29	35	63	57	50	50	60	55	53	64	86	59	67	35	57	81	75	68	39	29	34	18	13
15/07/2023	UPA St. John - Lavras	Sábado	8	10	12	31	41	43	39	36	43	52	46	50	45	49	55	58	62	55	63	58	43	39	34	26
16/07/2023	UPA St. John - Lavras	Domingo	17	16	3	23	35	49	45	42	38	48	43	37	39	44	41	49	49	52	48	33	27	30	16	10
17/07/2023	UPA St. John - Lavras	Segunda-feira	13	16	24	41	62	57	49	51	54	68	64	55	56	64	61	76	78	57	38	34	27	27	19	17
18/07/2023	UPA St. John - Lavras	Terça-feira	17	22	24	39	57	60	45	42	32	51	46	53	53	51	40	47	60	64	43	41	28	24	11	14
19/07/2023	UPA St. John - Lavras	Quarta-feira	15	16	20	40	70	60	53	41	46	41	44	59	56	70	75	87	94	90	81	51	34	0	30	29
20/07/2023	UPA St. John - Lavras	Quinta-feira	25	15	12	48	64	61	56	43	35	42	37	42	45	56	49	84	84	83	57	47	44	25	14	12
21/07/2023	UPA St. John - Lavras	Sexta-feira	11	9	24	40	61	54	52	49	49	50	35	36	38	58	54	75	75	63	66	69	52	41	27	19
22/07/2023	UPA St. John - Lavras	Sábado	23	24	25	22	29	40	48	54	53	50	56	60	49	47	48	48	36	50	46	42	44	40	38	11
23/07/2023	UPA St. John - Lavras	Domingo	13	10	17	21	41	43	48	43	36	37	36	36	38	37	34	38	51	47	38	24	27	40	25	23
24/07/2023	UPA St. John - Lavras	Segunda-feira	17	16	26	34	46	54	44	49	60	64	56	60	63	68	65	61	66	71	47	41	32	25	21	13
25/07/2023	UPA St. John - Lavras	Terça-feira	17	8	22	50	58	49	49	53	34	49	53	69	72	67	75	81	91	84	66	59	38	43	34	31
26/07/2023	UPA St. John - Lavras	Quarta-feira	21	23	25	31	58	60	63	77	62	67	64	71	86	65	61	82	80	76	50	44	34	28	11	14
27/07/2023	UPA St. John - Lavras	Quinta-feira	15	22	16	31	55	62	42	48	51	60	65	55	59	57	57	75	82	80	65	47	33	20	22	12
28/07/2023	UPA St. John - Lavras	Sexta-feira	21	24	24	39	47	52	52	62	42	52	52	43	64	61	29	73	92	88	69	52	37	34	35	20
29/07/2023	UPA St. John - Lavras	Sábado	19	24	24	31	45	52	42	54	58	49	48	57	39	43	41	46	47	55	45	44	41	35	34	37
30/07/2023	UPA St. John - Lavras	Domingo	7	2	12	22	35	36	34	40	38	38	40	36	40	41	43	40	53	53	55	45	36	28	30	20
31/07/2023	UPA St. John - Lavras	Segunda-feira	23	12	17	36	52	44	60	51	44	61	69	79	67	65	59	63	52	75	60	49	43	46	30	18
01/08/2023	UPA St. John - Lavras	Terça-feira	18	20	19	39	78	65	57	52	52	44	49	82	73	73	75	85	77	68	60	63	40	31	15	9
02/08/2023	UPA St. John - Lavras	Quarta-feira	16	22	15	32	56	69	57	51	59	53	67	69	54	51	71	85	94	71	56	43	35	23	32	16
03/08/2023	UPA St. John - Lavras	Quinta-feira	17	23	31	38	62	66	62	54	46	59	53	69	56	66	78	81	90	67	71	47	45	34	38	34
04/08/2023	UPA St. John - Lavras	Sexta-feira	23	20	32	33	62	55	53	44	47	47	66	63	68	71	66	84	82	100	76	53	46	39	44	44
05/08/2023	UPA St. John - Lavras	Sábado	31	27	28	22	44	39	41	40	38	37	49	63	70	62	59	63	69	56	39	44	36	39	35	21
06/08/2023	UPA St. John - Lavras	Domingo	22	24	23	28	32	38	50	56	39	61	55	53	56	48	48	51	72	56	58	48	33	41	18	22
07/08/2023	UPA St. John - Lavras	Segunda-feira	18	24	28	42	63	66	71	59	56	58	67	69	84	97	100	100	100	100	79	50	42	34	19	25
08/08/2023	UPA St. John - Lavras	Terça-feira	21	22	26	38	75	79	68	65	63	57	70	80	75	85	84	81	100	100	61	52	51	33	26	10
09/08/2023	UPA St. John - Lavras	Quarta-feira	16	21	30	31	58	64	80	55	61	65	67	66	70	88	68	85	90	97	81	67	57	41	24	23
10/08/2023	UPA St. John - Lavras	Quinta-feira	14	28	35	48	70	58	53	45	61	68	58	63	64	72	80	72	80	80	66	53	55	53	36	19
11/08/2023	UPA St. John - Lavras	Sexta-feira	20	23	28	43	67	59	56	50	51	60	73	62	83	77	82	77	100	84	83	69	56	53	41	25
12/08/2023	UPA St. John - Lavras	Sábado	16	29	28	39	48	43	41	37	57	51	57	65	61	72	54	42	42	7	7	22	16	0	0	1
13/08/2023	UPA St. John - Lavras	Domingo	3	1	2	8	8	14	15	18	6	6	5	0	NA	13	7	7	14	0	0	0	0	3	0	0
