Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
05/07/2023	UPA Tito Lopes	Quarta-feira	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	56	74	59	60	47	31	14	21	23
06/07/2023	UPA Tito Lopes	Quinta-feira	24	22	31	46	62	60	68	70	68	65	59	59	71	72	62	58	60	48	57	62	42	36	30	24
07/07/2023	UPA Tito Lopes	Sexta-feira	19	24	31	49	60	52	59	66	54	49	49	49	58	63	52	44	55	50	39	37	32	22	23	20
08/07/2023	UPA Tito Lopes	Sábado	19	19	29	40	53	53	78	70	62	45	51	59	61	63	59	65	72	79	59	50	52	43	50	31
09/07/2023	UPA Tito Lopes	Domingo	32	39	26	30	43	50	42	51	55	41	48	65	64	63	73	73	75	65	53	46	50	31	12	21
10/07/2023	UPA Tito Lopes	Segunda-feira	13	30	30	51	67	61	70	70	82	65	76	74	79	85	85	80	93	71	58	59	42	31	28	28
11/07/2023	UPA Tito Lopes	Terça-feira	23	22	36	47	58	71	69	72	80	82	88	84	83	92	70	63	80	73	75	78	45	27	26	29
12/07/2023	UPA Tito Lopes	Quarta-feira	23	33	32	53	60	58	74	66	61	52	54	66	66	69	82	71	84	62	55	49	50	34	17	19
13/07/2023	UPA Tito Lopes	Quinta-feira	28	15	21	45	59	60	68	90	88	78	76	87	88	84	68	68	62	62	43	32	28	18	11	14
14/07/2023	UPA Tito Lopes	Sexta-feira	16	13	16	32	44	49	49	51	48	44	54	56	55	44	35	46	57	52	37	24	24	17	17	16
15/07/2023	UPA Tito Lopes	Sábado	24	18	18	21	33	43	39	46	44	44	42	61	71	80	80	64	56	52	40	38	25	24	21	25
16/07/2023	UPA Tito Lopes	Domingo	16	15	15	22	27	28	47	57	42	40	44	55	59	61	54	56	52	50	55	41	37	31	32	29
17/07/2023	UPA Tito Lopes	Segunda-feira	31	32	23	33	43	41	49	47	56	56	57	63	72	70	71	62	75	72	61	43	31	36	34	28
18/07/2023	UPA Tito Lopes	Terça-feira	13	19	26	26	44	59	59	51	60	51	47	49	65	80	81	72	69	72	63	49	34	0	14	10
19/07/2023	UPA Tito Lopes	Quarta-feira	12	9	17	30	46	52	49	49	52	56	63	61	54	51	54	71	65	67	56	42	31	0	18	17
20/07/2023	UPA Tito Lopes	Quinta-feira	6	6	17	38	41	49	40	41	33	42	45	44	47	56	57	60	62	46	41	28	25	17	12	18
21/07/2023	UPA Tito Lopes	Sexta-feira	18	7	12	25	39	45	49	49	47	51	49	59	56	46	40	45	64	63	61	33	25	26	22	19
22/07/2023	UPA Tito Lopes	Sábado	15	6	21	23	42	46	54	54	43	42	42	31	46	53	2	48	51	50	47	41	29	28	20	15
23/07/2023	UPA Tito Lopes	Domingo	15	16	18	20	29	33	44	49	38	40	48	50	53	44	37	40	48	50	40	27	19	18	8	8
24/07/2023	UPA Tito Lopes	Segunda-feira	11	3	10	23	48	63	62	61	53	56	62	58	78	84	66	65	75	74	56	50	28	26	19	17
25/07/2023	UPA Tito Lopes	Terça-feira	10	9	14	25	5	72	62	61	60	69	63	65	50	48	47	61	79	68	55	28	13	20	11	12
26/07/2023	UPA Tito Lopes	Quarta-feira	15	10	15	26	52	58	59	63	52	48	40	49	47	53	47	62	55	55	48	24	23	19	17	14
27/07/2023	UPA Tito Lopes	Quinta-feira	7	21	11	31	41	57	52	50	52	57	57	66	57	45	48	52	68	62	52	29	24	18	9	0
28/07/2023	UPA Tito Lopes	Sexta-feira	10	17	14	24	50	62	52	45	42	59	82	71	57	56	1	52	69	55	50	40	30	27	28	24
29/07/2023	UPA Tito Lopes	Sábado	26	29	18	17	28	33	46	46	33	42	45	39	42	36	34	61	64	62	46	21	22	21	28	23
30/07/2023	UPA Tito Lopes	Domingo	21	19	11	16	39	42	51	46	43	39	36	55	54	49	39	40	52	58	46	45	34	20	16	19
31/07/2023	UPA Tito Lopes	Segunda-feira	17	17	15	30	46	67	74	65	65	66	84	77	69	77	76	79	100	100	89	45	37	29	27	26
01/08/2023	UPA Tito Lopes	Terça-feira	24	25	15	28	75	99	98	87	85	71	65	77	70	78	72	82	84	78	61	35	24	23	17	21
02/08/2023	UPA Tito Lopes	Quarta-feira	20	21	32	40	65	75	86	73	76	67	80	86	84	77	75	57	81	88	68	36	32	32	30	27
03/08/2023	UPA Tito Lopes	Quinta-feira	14	10	16	38	70	85	83	71	75	72	75	74	66	89	98	100	100	100	92	64	49	47	31	31
04/08/2023	UPA Tito Lopes	Sexta-feira	18	16	11	36	66	92	73	63	59	62	65	62	66	66	64	75	92	82	59	39	48	45	35	34
05/08/2023	UPA Tito Lopes	Sábado	24	24	21	32	55	68	54	48	43	50	64	72	60	63	58	63	87	81	71	42	34	50	54	45
06/08/2023	UPA Tito Lopes	Domingo	26	25	24	31	53	40	53	58	61	67	74	72	73	78	70	67	66	65	62	51	40	39	41	42
07/08/2023	UPA Tito Lopes	Segunda-feira	17	17	19	41	79	97	100	86	82	76	86	100	100	100	93	100	100	85	79	61	52	37	31	35
08/08/2023	UPA Tito Lopes	Terça-feira	25	32	33	48	83	100	100	82	85	77	82	82	79	82	72	81	79	83	69	49	30	26	23	14
09/08/2023	UPA Tito Lopes	Quarta-feira	11	17	17	35	65	85	82	69	78	75	81	97	83	97	87	89	100	100	71	60	42	37	24	23
10/08/2023	UPA Tito Lopes	Quinta-feira	20	21	30	44	76	94	83	69	70	60	64	58	61	84	84	81	92	81	78	53	34	34	35	43
