Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
05/07/2023	UPA VICENTE MISSIANO	Quarta-feira	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	52	0	38	100	23	100	0	28	0
06/07/2023	UPA VICENTE MISSIANO	Quinta-feira	39	63	100	88	70	100	100	50	13	92	24	69	42	29	100	76	55	0	100	100	100	77	33	0
07/07/2023	UPA VICENTE MISSIANO	Sexta-feira	0	100	29	17	63	100	66	100	100	100	81	4	87	90	100	100	100	1	100	51	68	0	0	0
08/07/2023	UPA VICENTE MISSIANO	Sábado	0	89	100	3	0	13	30	2	43	100	100	66	61	5	47	79	100	0	0	100	28	34	0	0
09/07/2023	UPA VICENTE MISSIANO	Domingo	18	71	51	100	39	2	15	39	100	36	25	1	3	14	5	11	2	37	53	0	19	80	29	98
10/07/2023	UPA VICENTE MISSIANO	Segunda-feira	32	100	9	100	6	68	0	22	0	16	2	6	90	72	66	100	100	0	100	38	18	53	36	42
11/07/2023	UPA VICENTE MISSIANO	Terça-feira	10	0	28	100	11	100	100	14	62	0	100	100	46	88	64	1	100	100	0	0	2	50	0	100
12/07/2023	UPA VICENTE MISSIANO	Quarta-feira	28	4	33	9	31	26	87	57	45	0	26	17	100	6	54	100	38	0	46	0	0	0	33	9
13/07/2023	UPA VICENTE MISSIANO	Quinta-feira	20	5	17	100	100	100	100	100	63	11	1	49	100	4	92	50	56	100	54	0	0	0	15	0
14/07/2023	UPA VICENTE MISSIANO	Sexta-feira	0	62	65	8	20	32	1	4	67	70	16	0	77	8	83	91	100	0	100	100	0	0	0	0
15/07/2023	UPA VICENTE MISSIANO	Sábado	20	6	48	57	49	55	13	40	45	88	52	100	62	46	100	61	45	54	16	1	0	1	8	0
16/07/2023	UPA VICENTE MISSIANO	Domingo	30	0	2	73	74	0	NA	NA	NA	65	100	0	38	3	5	17	44	57	13	14	0	59	23	10
17/07/2023	UPA VICENTE MISSIANO	Segunda-feira	21	45	74	2	100	79	41	67	4	7	51	0	40	20	45	0	0	0	61	39	27	2	62	21
