Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
05/07/2023	UPA Vila Mariana	Quarta-feira	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	59	59	59	44	38	32	11	14	12
06/07/2023	UPA Vila Mariana	Quinta-feira	9	21	27	34	62	51	61	72	72	74	58	63	52	57	48	52	51	50	48	39	35	25	17	22
07/07/2023	UPA Vila Mariana	Sexta-feira	18	24	14	36	59	59	65	63	67	57	66	61	60	63	63	55	54	39	28	30	23	18	21	16
08/07/2023	UPA Vila Mariana	Sábado	23	18	21	27	51	49	46	62	39	44	47	42	55	65	65	64	66	54	47	51	40	12	18	13
09/07/2023	UPA Vila Mariana	Domingo	30	28	19	41	55	40	39	38	43	31	21	32	44	57	56	51	50	29	30	31	22	23	19	13
10/07/2023	UPA Vila Mariana	Segunda-feira	17	21	37	41	60	76	76	90	97	70	74	68	81	92	74	77	76	52	59	46	43	31	29	31
11/07/2023	UPA Vila Mariana	Terça-feira	17	29	33	51	72	67	81	88	82	70	80	80	75	74	87	70	63	48	47	37	34	18	20	16
12/07/2023	UPA Vila Mariana	Quarta-feira	23	22	30	43	56	75	78	82	84	76	77	81	84	87	57	56	59	77	61	51	37	25	26	26
13/07/2023	UPA Vila Mariana	Quinta-feira	16	16	36	42	69	58	65	77	74	63	74	65	64	66	75	76	38	41	34	28	17	7	13	12
14/07/2023	UPA Vila Mariana	Sexta-feira	9	12	19	25	43	53	53	60	63	57	69	65	62	50	41	42	42	33	26	35	23	19	13	14
15/07/2023	UPA Vila Mariana	Sábado	10	5	7	20	34	38	39	36	28	31	39	31	32	39	36	38	40	40	23	20	13	19	10	12
16/07/2023	UPA Vila Mariana	Domingo	8	11	8	16	18	25	28	26	28	34	39	47	53	37	42	40	46	35	28	27	19	10	6	4
17/07/2023	UPA Vila Mariana	Segunda-feira	14	15	14	25	56	53	61	76	80	76	82	76	70	66	49	48	57	61	44	36	21	17	11	18
18/07/2023	UPA Vila Mariana	Terça-feira	10	9	17	23	61	55	68	65	79	75	77	74	73	58	54	58	67	57	41	26	22	15	14	11
19/07/2023	UPA Vila Mariana	Quarta-feira	5	8	9	23	53	56	62	71	74	79	63	74	72	61	55	63	63	36	23	30	23	1	17	11
20/07/2023	UPA Vila Mariana	Quinta-feira	9	9	8	30	57	52	73	67	67	59	63	62	73	56	49	53	61	49	28	20	20	14	19	12
21/07/2023	UPA Vila Mariana	Sexta-feira	8	11	18	25	62	81	89	72	66	70	61	66	61	54	38	41	38	40	33	28	16	16	14	9
22/07/2023	UPA Vila Mariana	Sábado	11	7	9	14	32	35	34	43	35	29	26	46	50	40	55	54	52	44	33	26	18	16	13	10
23/07/2023	UPA Vila Mariana	Domingo	14	11	15	22	28	27	23	27	24	26	39	37	45	40	45	47	41	40	25	20	7	11	2	12
24/07/2023	UPA Vila Mariana	Segunda-feira	11	10	14	24	46	58	68	73	81	80	80	60	83	82	67	62	57	53	44	27	17	16	15	1
25/07/2023	UPA Vila Mariana	Terça-feira	15	19	20	31	49	70	68	70	61	54	81	71	75	60	61	47	51	49	25	25	6	22	10	8
26/07/2023	UPA Vila Mariana	Quarta-feira	8	6	11	35	54	69	68	65	92	100	94	73	82	69	49	55	69	56	45	21	14	8	9	6
27/07/2023	UPA Vila Mariana	Quinta-feira	12	11	12	31	59	67	68	77	82	82	78	58	54	63	56	58	60	55	40	27	18	19	20	12
28/07/2023	UPA Vila Mariana	Sexta-feira	12	13	17	23	49	63	66	60	70	62	75	81	82	71	61	48	53	55	50	31	14	10	7	9
29/07/2023	UPA Vila Mariana	Sábado	11	9	16	21	38	51	46	38	30	37	47	50	49	44	40	23	32	30	28	23	8	10	10	6
30/07/2023	UPA Vila Mariana	Domingo	2	2	6	8	18	30	25	24	41	35	43	45	42	44	39	50	63	59	52	19	14	10	4	4
31/07/2023	UPA Vila Mariana	Segunda-feira	7	12	25	29	67	63	67	69	75	67	65	66	67	71	66	67	70	59	33	36	22	19	6	17
01/08/2023	UPA Vila Mariana	Terça-feira	11	7	13	15	47	64	81	85	93	96	97	88	67	61	56	60	63	54	41	26	16	26	15	17
02/08/2023	UPA Vila Mariana	Quarta-feira	17	15	13	29	69	77	70	68	68	73	91	85	89	75	64	76	80	59	60	42	33	18	8	14
03/08/2023	UPA Vila Mariana	Quinta-feira	11	13	7	25	49	70	70	65	70	89	96	94	100	77	69	78	73	73	49	37	29	21	4	7
04/08/2023	UPA Vila Mariana	Sexta-feira	11	16	15	35	65	87	78	74	77	72	85	100	77	83	71	81	96	87	69	45	33	24	16	11
05/08/2023	UPA Vila Mariana	Sábado	5	8	10	20	42	57	66	66	71	67	80	76	73	59	48	48	70	68	53	44	21	22	29	29
06/08/2023	UPA Vila Mariana	Domingo	13	14	11	22	29	35	39	23	37	35	NA	48	62	52	40	41	40	47	39	52	39	34	18	8
07/08/2023	UPA Vila Mariana	Segunda-feira	7	8	10	32	61	87	83	95	90	93	79	89	92	96	100	100	87	74	64	46	42	20	14	16
08/08/2023	UPA Vila Mariana	Terça-feira	9	15	15	43	71	91	78	88	78	92	100	100	100	83	74	79	75	77	63	49	30	24	9	7
09/08/2023	UPA Vila Mariana	Quarta-feira	9	8	17	32	66	90	96	89	88	86	85	89	90	74	66	54	80	56	58	42	33	22	15	15
10/08/2023	UPA Vila Mariana	Quinta-feira	18	18	18	28	63	73	75	76	89	89	97	91	82	88	80	77	77	64	46	36	21	24	12	5
11/08/2023	UPA Vila Mariana	Sexta-feira	8	6	13	37	67	97	100	99	89	100	83	99	95	89	91	79	92	69	49	32	29	23	17	22
12/08/2023	UPA Vila Mariana	Sábado	18	10	27	35	53	54	56	50	51	51	72	51	51	55	46	56	13	14	11	1	0	0	0	0
