Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
05/07/2023	UPA Vila Santa Catarina	Quarta-feira	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	52	74	33	43	43	41	36	29	28
06/07/2023	UPA Vila Santa Catarina	Quinta-feira	12	22	25	38	63	65	69	68	64	54	61	63	41	66	57	64	71	68	42	59	45	31	30	21
07/07/2023	UPA Vila Santa Catarina	Sexta-feira	10	14	34	47	73	51	59	68	56	49	44	43	40	39	40	30	54	54	63	55	51	31	23	10
08/07/2023	UPA Vila Santa Catarina	Sábado	23	19	30	38	52	60	53	55	56	52	44	68	61	76	85	100	100	84	70	68	59	59	28	36
09/07/2023	UPA Vila Santa Catarina	Domingo	41	44	36	35	47	41	35	68	82	65	55	73	73	68	75	52	63	68	48	54	49	38	40	37
10/07/2023	UPA Vila Santa Catarina	Segunda-feira	36	33	32	53	100	92	76	89	87	74	60	84	77	97	100	100	99	85	71	62	39	31	26	12
11/07/2023	UPA Vila Santa Catarina	Terça-feira	29	39	44	41	76	70	66	80	77	81	68	72	84	79	68	67	65	50	56	49	56	48	35	30
12/07/2023	UPA Vila Santa Catarina	Quarta-feira	14	28	30	45	62	49	64	63	60	61	73	75	73	95	76	81	96	60	81	66	51	48	38	32
13/07/2023	UPA Vila Santa Catarina	Quinta-feira	25	34	41	47	61	65	52	62	76	58	69	69	48	62	65	45	73	61	54	51	45	34	33	30
14/07/2023	UPA Vila Santa Catarina	Sexta-feira	26	3	13	41	68	76	82	85	61	48	57	60	58	67	86	92	100	79	77	40	25	13	8	7
15/07/2023	UPA Vila Santa Catarina	Sábado	2	14	12	23	27	30	27	31	33	32	31	31	34	25	33	41	49	60	60	35	12	1	2	13
16/07/2023	UPA Vila Santa Catarina	Domingo	12	16	18	18	35	31	33	24	38	39	45	53	59	53	43	44	55	50	42	29	19	3	6	3
17/07/2023	UPA Vila Santa Catarina	Segunda-feira	11	5	7	29	45	46	44	41	43	48	55	59	53	55	49	50	64	66	54	32	31	11	7	7
18/07/2023	UPA Vila Santa Catarina	Terça-feira	9	14	17	29	54	55	63	52	55	47	41	51	56	61	56	51	61	52	37	27	14	12	6	15
19/07/2023	UPA Vila Santa Catarina	Quarta-feira	2	13	13	31	46	46	29	34	41	44	56	48	42	43	40	47	58	53	38	25	14	15	13	13
20/07/2023	UPA Vila Santa Catarina	Quinta-feira	10	8	15	27	57	55	45	37	28	31	28	56	54	41	51	56	64	49	42	43	27	25	19	18
21/07/2023	UPA Vila Santa Catarina	Sexta-feira	18	14	10	29	45	49	39	37	44	44	46	44	48	46	51	57	54	45	42	34	26	24	13	11
22/07/2023	UPA Vila Santa Catarina	Sábado	7	12	11	20	31	34	31	32	26	37	48	59	46	36	37	50	68	64	52	31	27	16	15	9
23/07/2023	UPA Vila Santa Catarina	Domingo	12	9	18	25	26	35	39	33	33	32	29	42	39	38	37	33	49	69	49	50	24	23	14	9
24/07/2023	UPA Vila Santa Catarina	Segunda-feira	5	20	19	28	51	45	38	32	45	52	48	43	47	54	58	74	74	72	65	47	38	22	18	14
25/07/2023	UPA Vila Santa Catarina	Terça-feira	12	12	16	34	61	68	55	48	62	55	61	61	57	59	64	74	71	68	47	46	24	28	19	13
26/07/2023	UPA Vila Santa Catarina	Quarta-feira	5	8	9	31	47	61	43	34	34	67	70	76	85	67	57	57	78	99	88	82	47	28	13	20
27/07/2023	UPA Vila Santa Catarina	Quinta-feira	13	15	12	35	69	69	59	62	55	42	71	71	NA	60	65	84	75	61	37	40	19	27	25	25
28/07/2023	UPA Vila Santa Catarina	Sexta-feira	14	13	13	35	56	68	52	45	43	45	52	57	56	47	52	47	60	50	41	42	43	31	22	16
29/07/2023	UPA Vila Santa Catarina	Sábado	3	12	18	26	42	40	42	33	44	37	41	50	45	31	35	41	42	40	27	24	19	11	0	7
30/07/2023	UPA Vila Santa Catarina	Domingo	9	6	7	20	39	47	41	41	37	38	36	43	52	51	41	68	75	73	52	27	16	13	10	8
31/07/2023	UPA Vila Santa Catarina	Segunda-feira	9	14	13	35	53	59	61	60	59	56	65	61	53	62	71	87	89	86	54	41	33	22	16	5
01/08/2023	UPA Vila Santa Catarina	Terça-feira	10	15	16	41	44	62	45	27	46	46	57	62	67	65	60	56	66	65	48	34	23	27	25	27
02/08/2023	UPA Vila Santa Catarina	Quarta-feira	25	16	23	34	64	62	61	50	54	39	48	55	56	49	50	67	79	88	72	55	42	38	31	14
