Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
05/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80	94	69	40	26	24	10	5	7
06/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quinta-feira	24	22	24	31	49	34	64	78	43	43	58	51	78	75	78	81	73	61	54	37	11	10	28	3
07/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sexta-feira	8	12	32	38	42	46	69	66	41	42	51	44	45	56	44	71	58	41	32	10	21	11	6	0
08/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sábado	6	22	27	27	18	49	41	68	59	58	64	54	73	45	49	51	56	41	27	24	19	12	12	13
09/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Domingo	13	18	27	33	22	38	35	33	23	16	23	36	53	62	67	60	55	57	10	26	28	15	14	3
10/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Segunda-feira	0	13	23	46	51	44	62	60	60	62	49	58	73	74	71	54	65	62	47	46	34	26	28	9
11/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Terça-feira	9	15	6	25	34	46	58	53	49	60	36	73	76	70	63	55	59	58	6	38	0	21	35	27
12/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	13	19	26	33	37	61	68	52	60	60	32	46	58	50	53	73	72	47	53	51	27	35	18	11
13/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quinta-feira	12	11	17	32	36	34	45	51	64	34	37	49	25	54	44	36	67	48	27	10	8	6	11	10
14/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sexta-feira	16	11	8	22	26	39	45	61	52	37	50	73	56	74	85	88	77	54	46	23	6	8	11	0
15/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sábado	8	5	6	20	27	34	48	52	62	69	72	61	34	48	42	49	81	43	38	24	24	34	26	10
16/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Domingo	4	7	9	11	33	31	30	31	29	41	57	48	38	32	52	75	61	49	39	33	28	24	15	14
17/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Segunda-feira	0	2	7	29	40	49	44	53	36	27	42	51	55	47	65	75	72	36	25	24	7	9	10	9
18/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Terça-feira	10	8	13	20	31	43	65	41	27	45	47	33	35	43	54	71	51	36	37	32	20	12	15	11
19/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	1	4	9	19	33	49	29	1	38	34	47	39	49	47	63	63	58	44	38	24	18	2	15	10
20/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quinta-feira	7	3	11	26	36	43	38	39	35	50	38	52	56	46	55	55	55	60	40	35	17	25	15	17
21/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sexta-feira	8	5	9	20	27	57	38	35	43	35	42	64	47	42	79	71	64	45	39	21	10	15	10	23
22/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sábado	23	8	9	22	21	25	41	46	41	38	70	61	74	84	82	55	63	55	37	27	24	38	15	7
23/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Domingo	1	10	16	18	36	54	54	38	33	47	48	31	31	42	57	84	49	35	25	11	16	10	6	4
24/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Segunda-feira	3	7	11	27	48	37	53	41	41	50	45	49	58	50	56	68	71	44	31	26	6	31	12	8
25/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Terça-feira	12	12	11	24	43	45	41	44	37	30	48	60	58	39	60	66	92	62	37	24	25	18	10	6
26/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	12	21	16	24	45	59	63	64	65	57	38	52	79	57	75	82	75	42	32	37	14	8	8	0
27/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quinta-feira	9	8	10	30	48	64	57	56	33	45	48	67	68	23	56	82	66	39	35	30	22	19	4	8
28/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sexta-feira	9	6	13	22	42	48	58	31	42	30	50	60	71	7	71	83	80	46	23	18	8	10	6	0
29/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sábado	6	10	5	28	23	37	50	51	55	69	60	68	56	35	49	61	54	46	24	35	28	20	16	20
30/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Domingo	18	13	6	24	25	26	32	39	36	37	34	42	50	41	61	85	46	41	15	18	16	14	9	6
31/07/2023	Unidade de Pronto Atendimento - UPA Zaíra	Segunda-feira	6	7	25	19	31	44	37	40	47	47	48	49	69	60	64	99	71	45	29	26	12	15	18	19
01/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Terça-feira	21	3	13	25	39	37	34	46	53	53	98	47	71	57	64	100	100	80	63	32	26	22	24	5
02/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	3	6	13	25	32	37	59	38	43	56	100	67	64	66	82	84	87	66	54	33	12	17	14	16
03/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quinta-feira	11	8	17	31	34	53	48	42	63	39	73	56	51	60	99	100	96	67	58	30	25	20	9	11
04/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sexta-feira	12	11	13	18	52	48	41	54	56	68	81	67	74	71	69	90	100	64	33	25	25	19	23	0
05/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sábado	9	18	29	30	49	63	71	99	77	85	100	97	96	100	89	97	72	53	29	40	20	26	5	11
06/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Domingo	5	10	19	15	24	48	44	50	76	64	60	54	49	43	57	100	75	39	32	20	20	22	13	9
07/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Segunda-feira	6	6	17	30	69	50	57	75	66	67	88	58	60	64	83	81	100	80	63	58	35	18	11	5
08/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Terça-feira	1	9	17	27	54	58	45	52	56	45	99	60	58	53	100	98	87	63	37	31	13	11	14	13
09/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	1	10	8	22	72	60	53	37	48	71	66	70	72	64	92	93	76	56	40	26	15	22	11	12
10/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quinta-feira	9	16	12	21	55	54	37	42	57	50	55	44	40	69	66	66	68	50	30	18	17	12	0	11
11/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sexta-feira	13	17	18	44	66	61	60	60	64	65	72	98	91	77	100	100	100	75	48	29	17	20	14	10
12/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sábado	8	1	10	12	23	51	91	79	100	100	90	68	85	69	68	0	15	4	11	10	0	0	1	0
13/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Domingo	0	1	9	7	9	14	8	7	12	11	20	11	12	12	16	23	14	14	9	9	0	0	0	NA
14/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Segunda-feira	NA	2	6	7	10	7	3	14	15	7	22	22	12	9	12	10	2	3	0	0	0	0	0	2
15/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Terça-feira	5	8	9	6	8	11	21	1	1	1	NA	16	17	8	12	21	14	12	0	4	2	0	0	1
16/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	1	9	9	27	17	15	3	NA	11	12	28	29	17	8	9	0	NA	NA	NA	NA	NA	NA	1	3
17/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quinta-feira	0	11	13	30	17	9	8	1	NA	6	6	0	25	17	2	14	12	19	30	38	27	14	19	21
18/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sexta-feira	19	21	12	14	57	55	64	54	56	50	85	62	87	84	100	100	90	64	41	39	12	21	15	12
19/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sábado	16	8	18	17	31	57	51	88	81	69	99	100	74	81	88	76	75	76	52	46	22	20	10	9
20/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Domingo	14	21	10	15	20	41	49	56	71	69	78	48	57	69	71	83	72	53	39	21	26	29	26	7
