Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
05/07/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Quarta-feira	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	59	48	36	16	17	6	7	13	0
06/07/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Quinta-feira	4	11	15	48	67	73	72	76	68	55	62	60	62	62	47	64	40	30	21	7	8	0	3	1
07/07/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Sexta-feira	0	3	18	40	72	76	70	71	67	55	63	56	62	52	52	41	45	27	27	20	13	14	14	0
08/07/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Sábado	8	6	18	38	55	63	52	62	64	60	60	50	51	55	45	46	48	30	31	15	10	20	24	0
09/07/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Domingo	4	0	5	10	34	24	20	25	36	35	27	28	19	32	16	34	31	25	33	23	15	6	8	3
10/07/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Segunda-feira	4	6	16	39	62	64	61	67	70	69	65	65	58	35	45	48	55	29	33	25	16	13	18	1
11/07/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Terça-feira	12	5	19	50	97	89	92	88	93	87	72	68	79	62	75	51	42	39	46	25	20	1	0	11
12/07/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Quarta-feira	12	17	32	39	61	58	74	71	72	50	62	64	67	57	49	41	45	34	27	20	13	5	3	6
13/07/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Quinta-feira	7	11	10	37	87	100	96	81	76	63	86	79	79	76	52	55	39	21	18	6	14	19	10	6
14/07/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Sexta-feira	5	4	32	41	72	62	61	61	67	49	53	54	48	56	72	60	38	27	28	19	15	11	8	6
15/07/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Sábado	8	9	18	28	47	50	57	51	59	56	48	51	52	51	44	46	36	33	27	20	12	10	7	6
16/07/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Domingo	5	7	9	15	19	21	22	26	28	25	21	24	36	35	32	32	30	24	17	12	12	8	6	8
17/07/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Segunda-feira	10	9	18	37	67	75	70	67	69	68	71	71	66	52	46	44	37	33	29	24	8	8	5	6
18/07/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Terça-feira	9	9	15	32	59	65	65	55	50	60	57	72	72	60	48	44	43	37	29	21	14	12	9	8
19/07/2023	AMA SOROCABANA -PRONTO ATENDIMENTO	Quarta-feira	7	15	21	33	56	58	62	63	77	74	76	72	62	53	45	41	30	25	27	25	12	3	7	8
