Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
05/07/2023	UPA - Pauliceia Taboão	Quarta-feira	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31	47	46	45	24	12	14	1	6
06/07/2023	UPA - Pauliceia Taboão	Quinta-feira	2	5	14	33	68	56	48	28	30	31	9	26	32	28	11	54	55	44	48	48	17	26	17	24
07/07/2023	UPA - Pauliceia Taboão	Sexta-feira	25	22	41	36	73	46	63	50	56	22	27	44	40	28	26	35	59	62	71	22	9	18	28	10
08/07/2023	UPA - Pauliceia Taboão	Sábado	8	5	32	40	56	48	66	72	71	75	54	67	61	79	70	40	54	57	37	29	62	37	36	52
09/07/2023	UPA - Pauliceia Taboão	Domingo	30	25	48	44	41	61	46	42	10	62	66	62	59	67	68	52	72	53	51	30	22	0	13	17
10/07/2023	UPA - Pauliceia Taboão	Segunda-feira	30	12	35	46	59	62	69	85	60	39	26	10	25	37	32	60	64	49	56	38	30	15	10	4
11/07/2023	UPA - Pauliceia Taboão	Terça-feira	12	28	10	22	57	63	54	64	63	43	52	65	44	19	27	50	28	42	44	38	37	6	22	26
12/07/2023	UPA - Pauliceia Taboão	Quarta-feira	15	34	11	31	71	83	62	59	36	36	32	41	33	39	43	65	84	74	63	40	65	33	27	25
13/07/2023	UPA - Pauliceia Taboão	Quinta-feira	0	32	10	43	73	47	57	57	42	36	29	29	28	26	39	64	44	47	66	30	14	5	42	9
14/07/2023	UPA - Pauliceia Taboão	Sexta-feira	25	24	34	22	24	45	28	65	30	39	25	47	36	40	50	49	59	64	36	19	10	17	17	7
15/07/2023	UPA - Pauliceia Taboão	Sábado	37	2	13	20	27	59	47	66	56	24	21	53	40	35	14	18	31	41	16	18	29	26	25	11
16/07/2023	UPA - Pauliceia Taboão	Domingo	5	16	21	32	55	44	44	62	52	54	66	59	48	29	31	41	43	38	52	49	18	0	0	0
17/07/2023	UPA - Pauliceia Taboão	Segunda-feira	0	10	9	34	48	44	41	47	58	54	56	69	77	91	68	65	45	51	51	42	6	28	15	27
18/07/2023	UPA - Pauliceia Taboão	Terça-feira	30	6	19	40	43	54	95	69	66	50	50	66	69	50	35	44	48	58	40	27	16	5	17	20
19/07/2023	UPA - Pauliceia Taboão	Quarta-feira	7	3	12	36	48	66	76	75	65	35	56	61	43	44	69	66	68	39	44	34	21	24	0	0
20/07/2023	UPA - Pauliceia Taboão	Quinta-feira	11	20	19	33	42	55	52	27	44	52	21	26	58	30	29	71	65	50	33	25	7	11	28	43
21/07/2023	UPA - Pauliceia Taboão	Sexta-feira	5	20	32	23	36	53	61	71	29	17	35	46	49	32	34	35	49	42	32	46	33	18	19	12
22/07/2023	UPA - Pauliceia Taboão	Sábado	16	17	19	30	54	61	57	66	63	50	49	61	57	41	27	24	37	40	20	22	21	13	10	10
