Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
05/07/2023	UPA Vila Assis	Quarta-feira	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	67	76	53	61	46	25	13	10	11
06/07/2023	UPA Vila Assis	Quinta-feira	37	20	32	48	43	40	69	71	39	41	40	49	56	52	63	74	53	61	59	30	43	5	11	23
07/07/2023	UPA Vila Assis	Sexta-feira	9	6	41	42	48	54	49	28	28	19	19	55	67	64	83	88	62	53	53	32	28	29	19	20
08/07/2023	UPA Vila Assis	Sábado	41	43	20	28	46	55	37	36	42	69	68	76	63	44	66	60	47	57	40	33	34	25	6	30
09/07/2023	UPA Vila Assis	Domingo	16	29	28	42	46	43	60	59	71	62	41	53	46	67	54	69	46	50	45	21	20	26	13	19
10/07/2023	UPA Vila Assis	Segunda-feira	8	NA	34	36	51	59	55	72	67	48	46	62	41	54	64	71	71	96	53	52	50	26	11	26
11/07/2023	UPA Vila Assis	Terça-feira	30	32	45	72	36	65	87	88	65	54	50	46	71	71	85	51	44	59	66	33	42	37	25	24
12/07/2023	UPA Vila Assis	Quarta-feira	25	26	54	45	42	52	60	72	75	72	92	64	63	80	51	46	45	61	44	44	43	16	20	26
13/07/2023	UPA Vila Assis	Quinta-feira	23	11	23	37	36	33	65	64	74	59	61	54	58	59	60	74	67	53	30	24	17	9	15	0
14/07/2023	UPA Vila Assis	Sexta-feira	9	6	17	36	41	40	56	59	53	54	58	63	62	48	36	57	62	59	38	28	27	24	16	10
15/07/2023	UPA Vila Assis	Sábado	10	5	11	26	29	32	49	47	41	72	60	75	58	47	51	41	45	42	29	22	10	19	13	15
16/07/2023	UPA Vila Assis	Domingo	10	10	14	36	42	53	69	88	100	100	100	56	49	42	46	65	66	63	54	35	27	21	18	10
17/07/2023	UPA Vila Assis	Segunda-feira	11	25	20	38	50	46	63	53	48	53	46	55	50	33	44	61	68	59	51	39	32	33	20	12
18/07/2023	UPA Vila Assis	Terça-feira	19	14	18	30	27	34	57	50	59	54	51	52	62	53	45	57	56	57	69	48	38	20	22	16
19/07/2023	UPA Vila Assis	Quarta-feira	15	22	22	27	29	41	42	48	54	49	40	43	52	45	38	59	67	42	26	26	24	26	0	9
20/07/2023	UPA Vila Assis	Quinta-feira	6	16	7	16	36	42	44	24	42	52	61	49	57	48	41	64	61	58	54	29	24	24	18	13
21/07/2023	UPA Vila Assis	Sexta-feira	10	18	13	33	36	52	63	67	48	57	60	57	59	53	64	62	61	49	48	40	33	22	20	22
22/07/2023	UPA Vila Assis	Sábado	13	9	9	32	24	32	42	40	42	53	51	57	54	46	45	59	47	50	37	28	23	18	22	17
23/07/2023	UPA Vila Assis	Domingo	13	18	27	38	36	51	52	89	87	100	83	49	33	34	45	42	52	43	42	33	27	22	11	2
24/07/2023	UPA Vila Assis	Segunda-feira	11	2	11	27	39	43	50	42	37	39	49	57	55	65	61	70	81	63	34	32	22	16	13	11
25/07/2023	UPA Vila Assis	Terça-feira	8	4	14	29	48	54	59	65	55	60	69	57	57	63	54	59	75	65	48	45	21	25	3	22
26/07/2023	UPA Vila Assis	Quarta-feira	25	6	11	31	53	59	61	71	48	55	62	48	39	40	64	75	65	59	67	49	32	21	5	8
27/07/2023	UPA Vila Assis	Quinta-feira	14	11	13	37	62	48	65	66	67	54	53	56	57	62	57	77	60	50	24	50	26	23	11	11
28/07/2023	UPA Vila Assis	Sexta-feira	17	27	27	40	46	51	33	65	56	79	80	75	51	51	0	81	73	65	50	44	37	37	26	23
29/07/2023	UPA Vila Assis	Sábado	3	1	14	27	34	32	40	77	68	66	52	76	67	85	79	72	56	63	56	49	31	15	6	11
30/07/2023	UPA Vila Assis	Domingo	16	12	23	35	53	46	60	80	100	100	100	82	57	60	64	66	56	48	59	45	24	23	17	12
31/07/2023	UPA Vila Assis	Segunda-feira	3	15	9	37	53	51	67	61	62	77	90	93	88	76	88	90	83	77	55	44	42	42	19	17
01/08/2023	UPA Vila Assis	Terça-feira	18	8	3	36	58	79	78	77	67	76	85	73	72	72	75	96	100	100	78	70	35	26	24	11
02/08/2023	UPA Vila Assis	Quarta-feira	4	10	12	41	51	68	79	77	81	91	89	68	57	52	71	71	73	66	44	41	44	26	19	20
03/08/2023	UPA Vila Assis	Quinta-feira	21	4	15	28	57	60	66	64	70	63	74	67	66	78	63	67	76	70	56	38	35	25	20	21
04/08/2023	UPA Vila Assis	Sexta-feira	6	3	9	34	38	61	61	40	35	43	71	79	46	52	75	86	85	86	76	59	46	38	25	18
05/08/2023	UPA Vila Assis	Sábado	17	23	22	38	46	55	77	66	64	79	85	77	75	53	54	63	65	57	52	43	29	26	24	26
06/08/2023	UPA Vila Assis	Domingo	22	16	27	42	55	87	100	100	100	100	100	79	81	50	62	61	60	55	32	18	22	28	4	18
07/08/2023	UPA Vila Assis	Segunda-feira	16	8	24	39	44	54	59	62	65	73	100	100	95	43	46	67	68	71	67	72	51	32	11	13
08/08/2023	UPA Vila Assis	Terça-feira	4	8	14	38	52	56	63	56	56	71	76	72	63	57	63	78	86	67	45	21	35	30	26	13
09/08/2023	UPA Vila Assis	Quarta-feira	9	10	10	28	60	86	94	74	74	64	69	58	61	56	71	91	71	56	45	28	24	16	13	10
10/08/2023	UPA Vila Assis	Quinta-feira	7	5	21	40	42	65	40	67	71	75	76	66	82	72	76	82	88	64	42	40	30	37	25	22
11/08/2023	UPA Vila Assis	Sexta-feira	6	4	17	40	66	64	68	49	64	69	80	62	68	70	70	76	76	60	45	32	30	32	25	22
12/08/2023	UPA Vila Assis	Sábado	24	25	10	21	29	41	51	70	64	58	61	55	65	62	51	52	0	6	13	1	0	6	0	0
13/08/2023	UPA Vila Assis	Domingo	0	1	2	NA	16	19	13	NA	NA	NA	NA	3	7	10	13	15	14	0	NA	NA	0	0	0	0
14/08/2023	UPA Vila Assis	Segunda-feira	NA	1	3	7	7	3	NA	17	12	1	19	0	4	5	0	3	16	16	0	6	0	0	2	4
15/08/2023	UPA Vila Assis	Terça-feira	0	NA	6	8	8	3	NA	NA	5	7	11	3	2	20	20	11	5	5	0	NA	NA	0	0	5
16/08/2023	UPA Vila Assis	Quarta-feira	7	2	9	9	4	16	9	12	12	17	17	1	1	5	7	7	0	10	9	0	1	3	8	10
17/08/2023	UPA Vila Assis	Quinta-feira	1	6	7	3	5	4	19	18	16	1	19	19	0	21	9	2	2	16	48	58	45	23	22	10
