Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
05/07/2023	Unidade Avançada Carlos Chagas	Quarta-feira	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	65	59	59	60	35	34	11	6	14
06/07/2023	Unidade Avançada Carlos Chagas	Quinta-feira	14	11	15	21	45	43	84	77	75	52	53	95	86	68	67	45	43	47	46	50	23	17	13	26
07/07/2023	Unidade Avançada Carlos Chagas	Sexta-feira	20	4	15	18	32	55	NA	85	87	54	80	88	100	49	50	54	59	75	50	45	28	17	22	25
08/07/2023	Unidade Avançada Carlos Chagas	Sábado	17	9	11	21	45	35	42	40	36	37	37	47	45	36	54	46	47	41	32	33	25	31	12	23
09/07/2023	Unidade Avançada Carlos Chagas	Domingo	18	9	9	10	24	28	24	38	44	52	41	44	32	54	46	37	27	31	22	23	26	27	24	33
10/07/2023	Unidade Avançada Carlos Chagas	Segunda-feira	13	9	23	35	58	88	100	100	100	100	90	100	100	100	78	96	46	36	56	37	31	12	0	9
11/07/2023	Unidade Avançada Carlos Chagas	Terça-feira	11	5	26	38	70	76	83	91	97	80	97	100	100	100	100	75	73	52	50	31	29	22	17	1
12/07/2023	Unidade Avançada Carlos Chagas	Quarta-feira	11	7	13	41	48	61	100	100	97	100	91	100	100	72	95	63	64	76	44	52	32	26	13	16
13/07/2023	Unidade Avançada Carlos Chagas	Quinta-feira	15	14	6	31	59	62	81	95	95	78	79	100	90	100	93	74	43	35	40	40	26	19	37	9
14/07/2023	Unidade Avançada Carlos Chagas	Sexta-feira	17	16	33	53	67	73	100	100	91	82	87	85	83	74	60	54	25	45	30	20	12	3	5	7
15/07/2023	Unidade Avançada Carlos Chagas	Sábado	0	12	7	12	17	36	40	41	38	36	57	52	45	45	37	28	27	38	25	24	18	18	9	7
16/07/2023	Unidade Avançada Carlos Chagas	Domingo	12	0	5	12	15	11	12	34	30	18	39	38	51	37	26	52	38	30	15	20	19	21	13	6
17/07/2023	Unidade Avançada Carlos Chagas	Segunda-feira	8	5	7	27	65	70	73	71	77	100	78	79	65	73	52	47	48	34	29	16	17	6	8	1
