Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
05/07/2023	Unidade de Pronto Atendimento Akira Tada	Quarta-feira	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	64	68	58	53	48	30	21	16	11
06/07/2023	Unidade de Pronto Atendimento Akira Tada	Quinta-feira	3	11	18	23	69	74	39	77	77	79	61	58	54	47	39	35	40	62	33	39	23	24	2	0
07/07/2023	Unidade de Pronto Atendimento Akira Tada	Sexta-feira	0	9	29	22	23	51	31	59	64	52	62	57	48	59	31	44	47	71	44	70	33	13	0	14
08/07/2023	Unidade de Pronto Atendimento Akira Tada	Sábado	7	17	21	22	46	28	42	49	38	56	66	24	30	43	46	44	66	46	16	0	23	16	16	24
09/07/2023	Unidade de Pronto Atendimento Akira Tada	Domingo	18	10	8	5	18	20	22	34	36	12	31	34	30	49	42	43	42	39	26	2	28	13	15	2
10/07/2023	Unidade de Pronto Atendimento Akira Tada	Segunda-feira	8	11	19	30	46	81	62	48	34	67	62	55	73	44	60	58	50	20	45	60	32	11	0	16
11/07/2023	Unidade de Pronto Atendimento Akira Tada	Terça-feira	15	18	19	39	57	50	38	51	55	64	74	71	60	48	79	53	43	38	47	45	27	17	5	0
12/07/2023	Unidade de Pronto Atendimento Akira Tada	Quarta-feira	8	1	9	37	60	79	64	80	56	60	60	70	60	55	40	57	49	41	50	45	23	28	14	18
13/07/2023	Unidade de Pronto Atendimento Akira Tada	Quinta-feira	1	18	11	38	36	64	46	68	71	84	42	42	52	37	43	48	40	53	49	16	45	33	33	0
14/07/2023	Unidade de Pronto Atendimento Akira Tada	Sexta-feira	12	7	9	12	33	33	56	38	52	55	52	75	41	11	20	33	90	54	27	38	7	11	4	13
15/07/2023	Unidade de Pronto Atendimento Akira Tada	Sábado	21	14	3	23	27	41	32	33	34	37	44	47	36	34	45	42	28	28	20	17	17	11	12	14
16/07/2023	Unidade de Pronto Atendimento Akira Tada	Domingo	12	1	10	25	23	36	45	39	41	50	47	37	36	21	48	46	56	43	63	41	22	22	10	6
17/07/2023	Unidade de Pronto Atendimento Akira Tada	Segunda-feira	12	5	22	27	48	54	58	50	59	60	61	74	67	64	92	54	79	67	53	35	17	7	22	9
18/07/2023	Unidade de Pronto Atendimento Akira Tada	Terça-feira	1	3	11	23	57	73	70	63	61	68	71	57	34	49	52	51	55	40	28	28	31	24	19	14
19/07/2023	Unidade de Pronto Atendimento Akira Tada	Quarta-feira	12	24	24	17	54	57	41	23	25	28	52	54	55	43	55	49	39	26	23	22	8	10	2	0
20/07/2023	Unidade de Pronto Atendimento Akira Tada	Quinta-feira	1	3	11	27	45	48	52	30	28	47	71	61	48	26	36	27	42	37	16	26	30	22	15	7
21/07/2023	Unidade de Pronto Atendimento Akira Tada	Sexta-feira	10	15	12	20	47	55	60	57	57	51	61	43	30	35	35	42	41	39	28	15	22	7	13	25
22/07/2023	Unidade de Pronto Atendimento Akira Tada	Sábado	10	8	5	17	32	29	34	17	32	38	56	48	41	36	34	45	46	43	30	31	13	14	13	7
23/07/2023	Unidade de Pronto Atendimento Akira Tada	Domingo	5	15	3	17	23	19	39	25	39	8	34	34	29	18	24	26	47	39	36	26	12	8	7	6
24/07/2023	Unidade de Pronto Atendimento Akira Tada	Segunda-feira	9	4	11	21	44	68	49	35	37	46	45	55	60	66	67	73	57	53	39	41	26	8	1	8
