epiweek_enddate	nt	negatives	positives	positivity_rate	virus
2022-01-01	0	43	2	4.444444444444445	DENV
2022-01-08	3	540	18	3.225806451612903	DENV
2022-01-15	4	521	6	1.1385199240986716	DENV
2022-01-22	4	530	12	2.214022140221402	DENV
2022-01-29	6	486	17	3.3797216699801194	DENV
2022-02-05	3	372	19	4.859335038363171	DENV
2022-02-12	3	314	33	9.510086455331413	DENV
2022-02-19	2	424	28	6.1946902654867255	DENV
2022-02-26	3	426	34	7.391304347826087	DENV
2022-03-05	1	461	81	14.944649446494465	DENV
2022-03-12	4	650	172	20.92457420924574	DENV
2022-03-19	3	696	165	19.16376306620209	DENV
2022-03-26	6	796	184	18.775510204081634	DENV
2022-04-02	6	888	218	19.710669077757686	DENV
2022-04-09	4	1119	313	21.85754189944134	DENV
2022-04-16	1	1126	324	22.344827586206897	DENV
2022-04-23	9	1002	414	29.23728813559322	DENV
2022-04-30	5	1536	479	23.77171215880893	DENV
2022-05-07	10	1498	458	23.415132924335378	DENV
2022-05-14	7	1773	422	19.225512528473804	DENV
2022-05-21	4	1377	260	15.882712278558339	DENV
2022-05-28	3	1580	213	11.87953151143335	DENV
2022-06-04	3	1412	126	8.192457737321195	DENV
2022-06-11	1	1299	100	7.147962830593281	DENV
2022-06-18	4	912	82	8.249496981891348	DENV
2022-06-25	1	1052	44	4.014598540145985	DENV
2022-07-02	3	870	35	3.867403314917127	DENV
2022-07-09	3	759	24	3.065134099616858	DENV
2022-07-16	1	763	34	4.265997490589712	DENV
2022-07-23	5	651	21	3.125	DENV
2022-07-30	2	682	24	3.39943342776204	DENV
2022-08-06	3	566	22	3.741496598639456	DENV
2022-08-13	2	516	10	1.9011406844106464	DENV
2022-08-20	0	477	5	1.0373443983402488	DENV
2022-08-27	4	449	7	1.5350877192982455	DENV
2022-09-03	0	478	3	0.6237006237006237	DENV
2022-09-10	2	540	7	1.2797074954296161	DENV
2022-09-17	0	551	11	1.9572953736654803	DENV
2022-09-24	0	599	8	1.3179571663920924	DENV
2022-10-01	2	480	7	1.4373716632443532	DENV
2022-10-08	1	535	8	1.4732965009208103	DENV
2022-10-15	1	539	8	1.4625228519195612	DENV
2022-10-22	0	637	9	1.393188854489164	DENV
2022-10-29	2	621	12	1.8957345971563981	DENV
2022-11-05	0	474	6	1.25	DENV
2022-11-12	0	514	9	1.7208413001912046	DENV
2022-11-19	1	513	4	0.7736943907156674	DENV
2022-11-26	0	468	4	0.847457627118644	DENV
2022-12-03	3	369	2	0.5390835579514826	DENV
2022-12-10	4	477	9	1.8518518518518516	DENV
2022-12-17	1	497	15	2.9296875	DENV
2022-12-24	1	407	8	1.9277108433734942	DENV
2022-12-31	1	395	5	1.25	DENV
2023-01-07	2	502	17	3.275529865125241	DENV
2023-01-14	3	470	26	5.241935483870968	DENV
2023-01-21	1	554	15	2.6362038664323375	DENV
2023-01-28	4	603	25	3.9808917197452227	DENV
2023-02-04	4	738	55	6.935687263556116	DENV
