epiweek_enddate	nt	negatives	positives	positivity_rate	virus
2021-12-04	0	1859	50	2.6191723415400734	SC2
2021-12-11	0	517	13	2.4528301886792456	SC2
2021-12-18	0	1166	29	2.426778242677824	SC2
2021-12-25	0	984	101	9.308755760368664	SC2
2022-01-01	1350	6130	1885	23.518402994385525	SC2
2022-01-08	17836	53030	34233	39.229684975304544	SC2
2022-01-15	10534	37079	28522	43.47799576225972	SC2
2022-01-22	5815	31877	32847	50.749335640566095	SC2
2022-01-29	2673	27410	23775	46.44915502588649	SC2
2022-02-05	1522	26643	15234	36.377964037538504	SC2
2022-02-12	900	22750	9185	28.761546892124628	SC2
2022-02-19	821	24623	6481	20.836548353909464	SC2
2022-02-26	769	22856	2672	10.466938263867126	SC2
2022-03-05	677	17966	1261	6.558485463150777	SC2
2022-03-12	596	19250	919	4.5564975953195495	SC2
2022-03-19	560	18198	547	2.9181114963990398	SC2
2022-03-26	611	23418	789	3.259387780394101	SC2
2022-04-02	718	23863	984	3.9602366482875198	SC2
2022-04-09	896	23170	1386	5.6442417331813	SC2
2022-04-16	945	21978	1733	7.30884399645734	SC2
2022-04-23	921	20451	2089	9.267968056787932	SC2
2022-04-30	1085	25074	3335	11.73923756556021	SC2
2022-05-07	1006	24687	4599	15.703749231714811	SC2
2022-05-14	1116	26729	7250	21.336707966685307	SC2
2022-05-21	1285	27590	10155	26.904225725261625	SC2
2022-05-28	1420	31907	16213	33.69285120532003	SC2
2022-06-04	1314	34137	19963	36.90018484288355	SC2
2022-06-11	1131	30930	20739	40.13818730766997	SC2
2022-06-18	816	20919	16518	44.12212517028608	SC2
2022-06-25	762	22616	16572	42.28845564968868	SC2
2022-07-02	769	20199	12364	37.96947455701256	SC2
2022-07-09	555	20865	9386	31.027073485174046	SC2
2022-07-16	510	19157	6825	26.268185667000232	SC2
2022-07-23	423	15975	3915	19.683257918552037	SC2
2022-07-30	426	13260	2252	14.517792676637441	SC2
2022-08-06	384	12479	1525	10.889745786918024	SC2
2022-08-13	387	12246	1052	7.910964054745075	SC2
2022-08-20	499	13805	836	5.709992486851991	SC2
2022-08-27	604	13060	547	4.01998971117807	SC2
2022-09-03	919	11771	379	3.1193415637860085	SC2
2022-09-10	1804	10690	276	2.5168703264636147	SC2
2022-09-17	3091	11827	306	2.5220473089920055	SC2
2022-09-24	5660	12715	288	2.2148734907329075	SC2
2022-10-01	5647	10541	285	2.632551265472012	SC2
2022-10-08	5875	9333	326	3.3750905890878973	SC2
2022-10-15	4420	7149	371	4.933510638297872	SC2
2022-10-22	3670	6623	743	10.086885691012762	SC2
2022-10-29	3306	6859	1641	19.305882352941175	SC2
2022-11-05	2828	4724	2104	30.814294083186876	SC2
2022-11-12	3139	9247	5427	36.9837808368543	SC2
2022-11-19	2309	10004	5824	36.7955521859995	SC2
2022-11-26	1751	9686	4694	32.642559109874824	SC2
2022-12-03	1193	7691	2874	27.20302886890677	SC2
2022-12-10	928	6322	1953	23.6012084592145	SC2
