epiweek_enddate	positives	negatives	positivity_rate
2021-12-04	50	1859	2.6191723415400734
2021-12-11	13	517	2.4528301886792456
2021-12-18	29	1166	2.426778242677824
2021-12-25	101	984	9.308755760368664
2022-01-01	2261	8565	20.88490670607796
2022-01-08	38005	85852	30.68457979766989
2022-01-15	29634	58049	33.79674509311953
2022-01-22	33957	72609	31.864759867124597
2022-01-29	24078	44809	34.95289386967062
2022-02-05	15380	39329	28.11237639145296
2022-02-12	9304	33673	21.648788887079135
2022-02-19	6586	32764	16.73697585768742
2022-02-26	2757	29477	8.553080598126202
2022-03-05	1337	21311	5.903391027905334
2022-03-12	1014	23271	4.175416924027178
2022-03-19	639	22065	2.8144820295983086
2022-03-26	923	26858	3.3224145999064105
2022-04-02	1153	28496	3.888832675638301
2022-04-09	1553	27251	5.391612276072768
2022-04-16	1934	25862	6.957835659807167
2022-04-23	2284	24374	8.567784529972242
2022-04-30	3514	29575	10.619843452506876
2022-05-07	4788	29234	14.073246722708834
2022-05-14	7435	32245	18.737399193548388
2022-05-21	10330	33206	23.727489893421534
2022-05-28	16423	38388	29.962963638685665
2022-06-04	20153	41079	32.91252939639404
2022-06-11	20904	37202	35.97563074381303
2022-06-18	16655	25831	39.20114861366097
2022-06-25	16697	27656	37.645706040177664
2022-07-02	12515	24681	33.646090977524466
2022-07-09	9490	24628	27.815229497625886
2022-07-16	6912	22533	23.47427407030056
2022-07-23	3985	18823	17.471939670291125
2022-07-30	2337	15859	12.8434820839745
2022-08-06	1578	14979	9.53071208552274
2022-08-13	1105	14901	6.903661127077346
2022-08-20	938	16873	5.266408399303801
2022-08-27	700	16406	4.09213141587747
2022-09-03	737	15685	4.4878821093654855
2022-09-10	1168	16225	6.715345253837751
2022-09-17	1868	19720	8.652955345562349
2022-09-24	3260	25241	11.438195151047331
2022-10-01	3134	23456	11.78638585934562
2022-10-08	3106	23182	11.815276932440657
2022-10-15	1993	17823	10.057529269277351
2022-10-22	1892	16375	10.357475228554224
2022-10-29	2573	16300	13.633232660414349
2022-11-05	2649	12603	17.36821400472069
2022-11-12	6027	19674	23.450449398856076
2022-11-19	6222	17275	26.47997616717028
2022-11-26	5060	16867	23.076572262507412
2022-12-03	3180	12782	19.922315499310862
2022-12-10	2257	10554	17.61767231285614
2022-12-17	2005	10168	16.470878173005833
2022-12-24	1945	9206	17.44238184916151
2022-12-31	1468	7268	16.804029304029307
2023-01-07	966	6552	12.849162011173185
2023-01-14	996	7366	11.911026070318105
2023-01-21	820	7384	9.995124329595319
2023-01-28	876	6392	12.052834342322509
2023-02-04	1200	7624	13.599274705349048
2023-02-11	1739	9100	16.04391549035889
2023-02-18	2522	12153	17.185689948892673
2023-02-25	3021	10875	21.740069084628672
2023-03-04	4076	13878	22.702461846942185
2023-03-11	3823	14344	21.043650575218802
2023-03-18	3216	13696	19.01608325449385
2023-03-25	3338	15500	17.7195031319673
2023-04-01	2477	15178	14.03001982441235
2023-04-08	1365	10903	11.126507988262144
2023-04-15	1193	10683	10.045469855170092
2023-04-22	1079	10366	9.427697684578419
2023-04-29	1208	12293	8.947485371453967
2023-05-06	1196	11838	9.176001227558693
2023-05-13	1083	12826	7.786325400819613
2023-05-20	979	12303	7.370877879837375
2023-05-27	1104	13249	7.691771755033791
2023-06-03	841	10897	7.16476401431249
2023-06-10	804	9854	7.543629198723963
2023-06-17	630	9379	6.29433509841143
2023-06-24	580	8802	6.182050735450863
2023-07-01	489	8971	5.1691331923890065
2023-07-08	351	7092	4.71584038694075
2023-07-15	294	6300	4.45859872611465
2023-07-22	201	4967	3.8893188854489162
2023-07-29	226	4656	4.629250307251127
2023-08-05	215	4883	4.217340133385641
2023-08-12	227	5094	4.2661153918436385
2023-08-19	338	5537	5.753191489361702
2023-08-26	402	6164	6.122448979591836
2023-09-02	432	5216	7.64872521246459
2023-09-09	456	5461	7.7066080784181175
2023-09-16	671	6179	9.795620437956204
2023-09-23	851	6006	12.410675222400466
2023-09-30	905	6266	12.620276112118253
2023-10-07	1054	5742	15.509123013537373
2023-10-14	1042	5691	15.476013664042773
2023-10-21	1322	6666	16.54982473710566
2023-10-28	1425	7490	15.984296130117778
2023-11-04	1004	6148	14.038031319910516
2023-11-11	954	7854	10.831062670299728
2023-11-18	535	5434	8.962975372759256
2023-11-25	477	5155	8.469460227272728
2023-12-02	425	4676	8.331699666732014
2023-12-09	402	4710	7.863849765258216
2023-12-16	420	5273	7.377481117161426
2023-12-23	448	4914	8.355091383812011
2023-12-30	339	3696	8.401486988847584
2024-01-06	395	3877	9.24625468164794
2024-01-13	497	4445	10.056657223796034
2024-01-20	567	4338	11.559633027522937
2024-01-27	653	4168	13.544907695498859
2024-02-03	1137	5679	16.681338028169016
2024-02-10	1746	7626	18.629961587708067
2024-02-17	1773	7715	18.686762225969648
2024-02-24	2348	11056	17.51715905699791
2024-03-02	2415	12396	16.305448653028154
2024-03-09	2117	12278	14.706495310871832
2024-03-16	1934	12717	13.200464132141152
2024-03-23	1585	12199	11.49883923389437
2024-03-30	1486	12039	10.987060998151572
2024-04-06	1934	15557	11.057115087759419
2024-04-13	1907	16027	10.633433701349391
2024-04-20	1895	16048	10.561221646324471
2024-04-27	2103	18139	10.389289595889734
2024-05-04	1677	17137	8.913574997342405
2024-05-11	1368	16710	7.567208762031198
2024-05-18	1185	15181	7.240620799217891
2024-05-25	1086	14297	7.059741272833647
2024-06-01	864	10782	7.418856259659969
2024-06-08	1014	12909	7.282913165266107
2024-06-15	1183	14792	7.405320813771518
2024-06-22	1082	14554	6.91992837042722
2024-06-29	1170	13921	7.752965343582267
2024-07-06	824	10562	7.236957667310732
2024-07-13	667	7707	7.965130164795796
2024-07-20	660	8170	7.474518686296716
2024-07-27	636	7790	7.548065511511987
2024-08-03	599	7017	7.865021008403361
2024-08-10	822	8169	9.142475809142475
2024-08-17	1132	9435	10.712595817166651
2024-08-24	1889	14056	11.846973973032298
2024-08-31	1587	11779	11.873410145144396
2024-09-07	1676	12317	11.977417280068606
2024-09-14	1590	12331	11.42159327634509
2024-09-21	1498	11088	11.902113459399333
2024-09-28	1586	12224	11.484431571325127
2024-10-05	1451	11475	11.2254371035123
2024-10-12	1192	10944	9.82201713909031
2024-10-19	1146	11243	9.250141254338526
2024-10-26	952	10340	8.430747431810131
2024-11-02	785	9960	7.305723592368543
2024-11-09	645	8402	7.129435171880181
2024-11-16	660	8975	6.850025947067981
2024-11-23	685	8754	7.257124695412649
2024-11-30	548	8240	6.235776058261265
2024-12-07	565	7165	7.309184993531695
2024-12-14	651	7632	7.859471206084752
2024-12-21	718	7974	8.260469397146801
2024-12-28	506	5330	8.670322138450993
2025-01-04	435	4271	9.243518912027199
2025-01-11	610	5641	9.75843864981603
2025-01-18	513	4996	9.312034852060265
2025-01-25	540	4662	10.380622837370241
2025-02-01	567	4699	10.767185719711355
2025-02-08	832	5763	12.615617892342684
2025-02-15	1082	7253	12.981403719256148
2025-02-22	1053	8109	11.49312377210216
2025-03-01	905	8561	9.560532431861398
2025-03-08	584	6824	7.883369330453564
2025-03-15	543	7314	6.911034746086292
2025-03-22	558	7454	6.964553170244633
2025-03-29	582	8430	6.458055925432757
2025-04-05	16	228	6.557377049180328
