state	region	disease	data_fimSE	casos_confirmados	casos_estimados
São Paulo	Sudeste	dengue	2022-12-31	180	180
São Paulo	Sudeste	dengue	2022-12-24	38	38
São Paulo	Sudeste	dengue	2022-12-17	101	101
São Paulo	Sudeste	dengue	2022-12-10	278	278
São Paulo	Sudeste	dengue	2022-12-03	321	321
São Paulo	Sudeste	dengue	2022-11-26	284	284
São Paulo	Sudeste	dengue	2022-11-19	353	353
São Paulo	Sudeste	dengue	2022-11-12	317	317
São Paulo	Sudeste	dengue	2022-11-05	364	364
São Paulo	Sudeste	dengue	2022-10-29	449	449
São Paulo	Sudeste	dengue	2022-10-22	473	473
São Paulo	Sudeste	dengue	2022-10-15	482	482
São Paulo	Sudeste	dengue	2022-10-08	401	401
São Paulo	Sudeste	dengue	2022-10-01	308	308
São Paulo	Sudeste	dengue	2022-09-24	332	332
São Paulo	Sudeste	dengue	2022-09-17	259	259
São Paulo	Sudeste	dengue	2022-09-10	307	307
São Paulo	Sudeste	dengue	2022-09-03	257	257
São Paulo	Sudeste	dengue	2022-08-27	317	317
São Paulo	Sudeste	dengue	2022-08-20	326	326
São Paulo	Sudeste	dengue	2022-08-13	343	343
São Paulo	Sudeste	dengue	2022-08-06	453	453
São Paulo	Sudeste	chikungunya	2023-11-25	21	21
São Paulo	Sudeste	dengue	2022-07-30	473	473
São Paulo	Sudeste	dengue	2022-07-23	566	566
São Paulo	Sudeste	dengue	2022-07-16	639	639
São Paulo	Sudeste	dengue	2022-07-09	715	715
São Paulo	Sudeste	dengue	2022-07-02	834	834
São Paulo	Sudeste	dengue	2022-06-25	1026	1026
São Paulo	Sudeste	dengue	2022-06-18	1070	1070
São Paulo	Sudeste	dengue	2022-06-11	1398	1398
São Paulo	Sudeste	chikungunya	2023-11-18	14	14
São Paulo	Sudeste	chikungunya	2023-11-11	19	19
São Paulo	Sudeste	chikungunya	2023-11-04	13	13
São Paulo	Sudeste	chikungunya	2023-10-28	12	12
São Paulo	Sudeste	chikungunya	2023-10-21	7	7
São Paulo	Sudeste	chikungunya	2023-10-14	12	12
São Paulo	Sudeste	chikungunya	2023-10-07	13	13
São Paulo	Sudeste	chikungunya	2023-09-30	6	6
São Paulo	Sudeste	chikungunya	2023-09-23	9	9
São Paulo	Sudeste	chikungunya	2023-09-16	13	13
São Paulo	Sudeste	chikungunya	2023-09-09	10	10
São Paulo	Sudeste	chikungunya	2023-09-02	12	12
São Paulo	Sudeste	chikungunya	2023-08-26	9	9
São Paulo	Sudeste	chikungunya	2023-08-19	9	9
São Paulo	Sudeste	dengue	2022-06-04	1881	1881
São Paulo	Sudeste	dengue	2022-05-28	2336	2336
São Paulo	Sudeste	dengue	2022-05-21	2433	2433
São Paulo	Sudeste	dengue	2022-05-14	3522	3522
São Paulo	Sudeste	dengue	2022-05-07	3538	3538
São Paulo	Sudeste	dengue	2022-04-30	3177	3177
São Paulo	Sudeste	dengue	2022-04-23	2587	2587
São Paulo	Sudeste	dengue	2022-04-16	1935	1935
São Paulo	Sudeste	dengue	2022-04-09	1608	1608
São Paulo	Sudeste	dengue	2022-04-02	1257	1257
São Paulo	Sudeste	dengue	2022-03-26	946	946
São Paulo	Sudeste	dengue	2022-03-19	738	738
São Paulo	Sudeste	dengue	2022-03-12	627	627
São Paulo	Sudeste	dengue	2022-03-05	504	504
São Paulo	Sudeste	dengue	2022-02-26	342	342
São Paulo	Sudeste	chikungunya	2023-08-12	7	7
São Paulo	Sudeste	chikungunya	2023-08-05	8	8
São Paulo	Sudeste	chikungunya	2023-07-29	9	9
São Paulo	Sudeste	chikungunya	2023-07-22	13	13
São Paulo	Sudeste	chikungunya	2023-07-15	9	9
São Paulo	Sudeste	chikungunya	2023-07-08	17	17
São Paulo	Sudeste	chikungunya	2023-07-01	17	17
São Paulo	Sudeste	chikungunya	2023-06-24	9	9
São Paulo	Sudeste	chikungunya	2023-06-17	15	15
São Paulo	Sudeste	chikungunya	2023-06-10	11	11
São Paulo	Sudeste	chikungunya	2023-06-03	23	23
São Paulo	Sudeste	chikungunya	2023-05-27	17	17
São Paulo	Sudeste	chikungunya	2023-05-20	31	31
São Paulo	Sudeste	chikungunya	2023-05-13	19	19
São Paulo	Sudeste	chikungunya	2023-05-06	38	38
São Paulo	Sudeste	dengue	2022-02-19	322	322
São Paulo	Sudeste	dengue	2022-02-12	310	310
São Paulo	Sudeste	dengue	2022-02-05	289	289
São Paulo	Sudeste	dengue	2022-01-29	325	325
São Paulo	Sudeste	dengue	2022-01-22	366	366
São Paulo	Sudeste	dengue	2022-01-15	253	253
São Paulo	Sudeste	dengue	2022-01-08	327	327
São Paulo	Sudeste	chikungunya	2023-04-29	24	24
São Paulo	Sudeste	chikungunya	2023-04-22	28	28
São Paulo	Sudeste	chikungunya	2023-04-15	41	41
São Paulo	Sudeste	chikungunya	2023-04-08	29	29
São Paulo	Sudeste	chikungunya	2023-04-01	26	26
São Paulo	Sudeste	chikungunya	2023-03-25	37	37
São Paulo	Sudeste	chikungunya	2023-03-18	32	32
São Paulo	Sudeste	chikungunya	2022-01-15	8	8
