state	year	virus	epiweek_end	result_count
SAO PAULO	2021	covid	2021-01-09	6525
SAO PAULO	2021	covid	2021-01-16	5952
SAO PAULO	2021	covid	2021-01-23	5418
SAO PAULO	2021	covid	2021-01-30	4925
SAO PAULO	2021	covid	2021-02-06	5693
SAO PAULO	2021	covid	2021-02-13	6085
SAO PAULO	2021	covid	2021-02-20	8706
SAO PAULO	2021	covid	2021-02-27	9752
SAO PAULO	2021	covid	2021-03-06	14942
SAO PAULO	2021	covid	2021-03-13	16889
SAO PAULO	2021	covid	2021-03-20	16808
SAO PAULO	2021	covid	2021-03-27	12777
SAO PAULO	2021	covid	2021-04-03	11067
SAO PAULO	2021	covid	2021-04-10	10291
SAO PAULO	2021	covid	2021-04-17	9165
SAO PAULO	2021	covid	2021-04-24	9406
SAO PAULO	2021	covid	2021-05-01	10063
SAO PAULO	2021	covid	2021-05-08	10279
SAO PAULO	2021	covid	2021-05-15	11808
SAO PAULO	2021	covid	2021-05-22	11852
SAO PAULO	2021	covid	2021-05-29	12465
SAO PAULO	2021	covid	2021-06-05	12608
SAO PAULO	2021	covid	2021-06-12	10787
SAO PAULO	2021	covid	2021-06-19	8957
SAO PAULO	2021	covid	2021-06-26	7377
SAO PAULO	2021	covid	2021-07-03	6234
SAO PAULO	2021	covid	2021-07-10	5260
SAO PAULO	2021	covid	2021-07-17	3875
SAO PAULO	2021	covid	2021-07-24	3585
SAO PAULO	2021	covid	2021-07-31	3060
SAO PAULO	2021	covid	2021-08-07	2977
SAO PAULO	2021	covid	2021-08-14	2127
SAO PAULO	2021	covid	2021-08-21	1767
SAO PAULO	2021	covid	2021-08-28	1570
SAO PAULO	2021	covid	2021-09-04	1713
SAO PAULO	2021	covid	2021-09-11	1552
SAO PAULO	2021	covid	2021-09-18	1420
SAO PAULO	2021	covid	2021-09-25	1292
SAO PAULO	2021	covid	2021-10-02	1142
SAO PAULO	2021	covid	2021-10-09	895
SAO PAULO	2021	covid	2021-10-16	805
SAO PAULO	2021	covid	2021-10-23	695
SAO PAULO	2021	covid	2021-10-30	597
SAO PAULO	2021	covid	2021-11-06	504
SAO PAULO	2021	covid	2021-11-13	462
SAO PAULO	2021	covid	2021-11-20	415
SAO PAULO	2021	covid	2021-11-27	335
SAO PAULO	2021	covid	2021-12-04	275
SAO PAULO	2021	covid	2021-12-11	253
SAO PAULO	2021	covid	2021-12-18	297
SAO PAULO	2021	covid	2021-12-25	699
SAO PAULO	2021	covid	2022-01-01	1261
SAO PAULO	2021	flua	2021-01-09	3
SAO PAULO	2021	flua	2021-01-16	4
SAO PAULO	2021	flua	2021-01-23	3
SAO PAULO	2021	flua	2021-01-30	4
SAO PAULO	2021	flua	2021-02-20	7
SAO PAULO	2021	flua	2021-02-27	10
SAO PAULO	2021	flua	2021-03-06	3
SAO PAULO	2021	flua	2021-03-13	8
SAO PAULO	2021	flua	2021-03-20	12
SAO PAULO	2021	flua	2021-03-27	2
SAO PAULO	2021	flua	2021-04-03	1
SAO PAULO	2021	flua	2021-04-10	4
SAO PAULO	2021	flua	2021-04-17	3
SAO PAULO	2021	flua	2021-04-24	2
SAO PAULO	2021	flua	2021-05-01	6
SAO PAULO	2021	flua	2021-05-08	6
SAO PAULO	2021	flua	2021-05-15	2
SAO PAULO	2021	flua	2021-05-22	7
SAO PAULO	2021	flua	2021-05-29	10
SAO PAULO	2021	flua	2021-06-05	6
SAO PAULO	2021	flua	2021-06-12	2
SAO PAULO	2021	flua	2021-06-19	6
SAO PAULO	2021	flua	2021-06-26	5
SAO PAULO	2021	flua	2021-07-03	3
SAO PAULO	2021	flua	2021-07-10	5
SAO PAULO	2021	flua	2021-07-17	6
SAO PAULO	2021	flua	2021-07-24	2
SAO PAULO	2021	flua	2021-07-31	7
SAO PAULO	2021	flua	2021-08-07	5
SAO PAULO	2021	flua	2021-08-14	1
SAO PAULO	2021	flua	2021-08-21	7
SAO PAULO	2021	flua	2021-08-28	7
SAO PAULO	2021	flua	2021-09-04	2
SAO PAULO	2021	flua	2021-09-11	6
SAO PAULO	2021	flua	2021-09-18	7
SAO PAULO	2021	flua	2021-09-25	2
SAO PAULO	2021	flua	2021-10-02	6
SAO PAULO	2021	flua	2021-10-09	4
SAO PAULO	2021	flua	2021-10-16	8
SAO PAULO	2021	flua	2021-10-23	9
SAO PAULO	2021	flua	2021-10-30	4
SAO PAULO	2021	flua	2021-11-06	12
SAO PAULO	2021	flua	2021-11-13	6
SAO PAULO	2021	flua	2021-11-20	14
SAO PAULO	2021	flua	2021-11-27	35
SAO PAULO	2021	flua	2021-12-04	92
SAO PAULO	2021	flua	2021-12-11	347
SAO PAULO	2021	flua	2021-12-18	1000
SAO PAULO	2021	flua	2021-12-25	1415
SAO PAULO	2021	flua	2022-01-01	1059
SAO PAULO	2021	flub	2021-01-09	3
SAO PAULO	2021	flub	2021-01-16	1
SAO PAULO	2021	flub	2021-01-23	1
SAO PAULO	2021	flub	2021-02-06	1
SAO PAULO	2021	flub	2021-02-20	1
SAO PAULO	2021	flub	2021-02-27	2
SAO PAULO	2021	flub	2021-03-06	4
SAO PAULO	2021	flub	2021-03-20	2
SAO PAULO	2021	flub	2021-03-27	2
SAO PAULO	2021	flub	2021-04-10	3
SAO PAULO	2021	flub	2021-04-17	2
SAO PAULO	2021	flub	2021-04-24	5
SAO PAULO	2021	flub	2021-05-08	1
SAO PAULO	2021	flub	2021-05-15	4
SAO PAULO	2021	flub	2021-05-22	4
SAO PAULO	2021	flub	2021-05-29	6
SAO PAULO	2021	flub	2021-06-05	4
SAO PAULO	2021	flub	2021-06-12	7
SAO PAULO	2021	flub	2021-06-19	11
SAO PAULO	2021	flub	2021-06-26	4
SAO PAULO	2021	flub	2021-07-03	2
SAO PAULO	2021	flub	2021-07-10	6
SAO PAULO	2021	flub	2021-07-17	2
SAO PAULO	2021	flub	2021-07-24	3
SAO PAULO	2021	flub	2021-07-31	1
SAO PAULO	2021	flub	2021-08-07	2
SAO PAULO	2021	flub	2021-08-14	2
SAO PAULO	2021	flub	2021-08-21	1
SAO PAULO	2021	flub	2021-08-28	1
SAO PAULO	2021	flub	2021-09-04	3
SAO PAULO	2021	flub	2021-09-11	1
SAO PAULO	2021	flub	2021-09-18	4
SAO PAULO	2021	flub	2021-09-25	2
SAO PAULO	2021	flub	2021-10-09	5
SAO PAULO	2021	flub	2021-10-16	2
SAO PAULO	2021	flub	2021-10-30	2
SAO PAULO	2021	flub	2021-11-06	3
SAO PAULO	2021	flub	2021-11-13	1
SAO PAULO	2021	flub	2021-11-27	2
SAO PAULO	2021	flub	2021-12-04	5
SAO PAULO	2021	flub	2021-12-11	6
SAO PAULO	2021	flub	2021-12-18	14
SAO PAULO	2021	flub	2021-12-25	12
SAO PAULO	2021	flub	2022-01-01	12
SAO PAULO	2021	vsr	2021-01-09	20
SAO PAULO	2021	vsr	2021-01-16	28
SAO PAULO	2021	vsr	2021-01-23	31
SAO PAULO	2021	vsr	2021-01-30	63
SAO PAULO	2021	vsr	2021-02-06	77
SAO PAULO	2021	vsr	2021-02-13	106
SAO PAULO	2021	vsr	2021-02-20	124
SAO PAULO	2021	vsr	2021-02-27	146
SAO PAULO	2021	vsr	2021-03-06	194
SAO PAULO	2021	vsr	2021-03-13	192
SAO PAULO	2021	vsr	2021-03-20	179
SAO PAULO	2021	vsr	2021-03-27	175
SAO PAULO	2021	vsr	2021-04-03	132
SAO PAULO	2021	vsr	2021-04-10	105
SAO PAULO	2021	vsr	2021-04-17	93
SAO PAULO	2021	vsr	2021-04-24	65
SAO PAULO	2021	vsr	2021-05-01	60
SAO PAULO	2021	vsr	2021-05-08	68
SAO PAULO	2021	vsr	2021-05-15	52
SAO PAULO	2021	vsr	2021-05-22	32
SAO PAULO	2021	vsr	2021-05-29	42
SAO PAULO	2021	vsr	2021-06-05	41
SAO PAULO	2021	vsr	2021-06-12	52
SAO PAULO	2021	vsr	2021-06-19	33
SAO PAULO	2021	vsr	2021-06-26	47
SAO PAULO	2021	vsr	2021-07-03	43
SAO PAULO	2021	vsr	2021-07-10	39
SAO PAULO	2021	vsr	2021-07-17	32
SAO PAULO	2021	vsr	2021-07-24	43
SAO PAULO	2021	vsr	2021-07-31	35
SAO PAULO	2021	vsr	2021-08-07	53
SAO PAULO	2021	vsr	2021-08-14	46
SAO PAULO	2021	vsr	2021-08-21	48
SAO PAULO	2021	vsr	2021-08-28	42
SAO PAULO	2021	vsr	2021-09-04	55
SAO PAULO	2021	vsr	2021-09-11	42
SAO PAULO	2021	vsr	2021-09-18	43
SAO PAULO	2021	vsr	2021-09-25	68
SAO PAULO	2021	vsr	2021-10-02	77
SAO PAULO	2021	vsr	2021-10-09	78
SAO PAULO	2021	vsr	2021-10-16	105
SAO PAULO	2021	vsr	2021-10-23	169
SAO PAULO	2021	vsr	2021-10-30	155
SAO PAULO	2021	vsr	2021-11-06	208
SAO PAULO	2021	vsr	2021-11-13	172
SAO PAULO	2021	vsr	2021-11-20	198
SAO PAULO	2021	vsr	2021-11-27	171
SAO PAULO	2021	vsr	2021-12-04	185
SAO PAULO	2021	vsr	2021-12-11	158
SAO PAULO	2021	vsr	2021-12-18	166
SAO PAULO	2021	vsr	2021-12-25	133
SAO PAULO	2021	vsr	2022-01-01	90
SAO PAULO	2022	covid	2022-01-01	602
SAO PAULO	2022	covid	2022-01-08	3913
SAO PAULO	2022	covid	2022-01-15	6323
SAO PAULO	2022	covid	2022-01-22	7296
SAO PAULO	2022	covid	2022-01-29	5483
SAO PAULO	2022	covid	2022-02-05	4077
SAO PAULO	2022	covid	2022-02-12	2561
SAO PAULO	2022	covid	2022-02-19	1477
SAO PAULO	2022	covid	2022-02-26	925
SAO PAULO	2022	covid	2022-03-05	599
SAO PAULO	2022	covid	2022-03-12	370
SAO PAULO	2022	covid	2022-03-19	245
SAO PAULO	2022	covid	2022-03-26	227
SAO PAULO	2022	covid	2022-04-02	162
SAO PAULO	2022	covid	2022-04-09	199
SAO PAULO	2022	covid	2022-04-16	169
SAO PAULO	2022	covid	2022-04-23	249
SAO PAULO	2022	covid	2022-04-30	282
SAO PAULO	2022	covid	2022-05-07	438
SAO PAULO	2022	covid	2022-05-14	670
SAO PAULO	2022	covid	2022-05-21	969
SAO PAULO	2022	covid	2022-05-28	1533
SAO PAULO	2022	covid	2022-06-04	2027
SAO PAULO	2022	covid	2022-06-11	2038
SAO PAULO	2022	covid	2022-06-18	2126
SAO PAULO	2022	covid	2022-06-25	2286
SAO PAULO	2022	covid	2022-07-02	2026
SAO PAULO	2022	covid	2022-07-09	1545
SAO PAULO	2022	covid	2022-07-16	1205
SAO PAULO	2022	covid	2022-07-23	835
SAO PAULO	2022	covid	2022-07-30	626
SAO PAULO	2022	covid	2022-08-06	505
SAO PAULO	2022	covid	2022-08-13	378
SAO PAULO	2022	covid	2022-08-20	349
SAO PAULO	2022	covid	2022-08-27	242
SAO PAULO	2022	covid	2022-09-03	169
SAO PAULO	2022	covid	2022-09-10	141
SAO PAULO	2022	covid	2022-09-17	114
SAO PAULO	2022	covid	2022-09-24	87
SAO PAULO	2022	covid	2022-10-01	107
SAO PAULO	2022	covid	2022-10-08	107
SAO PAULO	2022	covid	2022-10-15	148
SAO PAULO	2022	covid	2022-10-22	199
SAO PAULO	2022	covid	2022-10-29	306
SAO PAULO	2022	covid	2022-11-05	640
SAO PAULO	2022	covid	2022-11-12	1273
SAO PAULO	2022	covid	2022-11-19	1512
SAO PAULO	2022	covid	2022-11-26	1321
SAO PAULO	2022	covid	2022-12-03	1194
SAO PAULO	2022	covid	2022-12-10	1093
SAO PAULO	2022	covid	2022-12-17	1088
SAO PAULO	2022	covid	2022-12-24	950
SAO PAULO	2022	covid	2022-12-31	773
SAO PAULO	2022	flua	2022-01-01	240
SAO PAULO	2022	flua	2022-01-08	915
SAO PAULO	2022	flua	2022-01-15	416
SAO PAULO	2022	flua	2022-01-22	147
SAO PAULO	2022	flua	2022-01-29	44
SAO PAULO	2022	flua	2022-02-05	39
SAO PAULO	2022	flua	2022-02-12	23
SAO PAULO	2022	flua	2022-02-19	11
SAO PAULO	2022	flua	2022-02-26	16
SAO PAULO	2022	flua	2022-03-05	18
SAO PAULO	2022	flua	2022-03-12	11
SAO PAULO	2022	flua	2022-03-19	15
SAO PAULO	2022	flua	2022-03-26	14
SAO PAULO	2022	flua	2022-04-02	6
SAO PAULO	2022	flua	2022-04-09	6
SAO PAULO	2022	flua	2022-04-16	11
SAO PAULO	2022	flua	2022-04-23	14
SAO PAULO	2022	flua	2022-04-30	7
SAO PAULO	2022	flua	2022-05-07	14
SAO PAULO	2022	flua	2022-05-14	19
SAO PAULO	2022	flua	2022-05-21	18
SAO PAULO	2022	flua	2022-05-28	24
SAO PAULO	2022	flua	2022-06-04	13
SAO PAULO	2022	flua	2022-06-11	14
SAO PAULO	2022	flua	2022-06-18	15
SAO PAULO	2022	flua	2022-06-25	22
SAO PAULO	2022	flua	2022-07-02	17
SAO PAULO	2022	flua	2022-07-09	18
SAO PAULO	2022	flua	2022-07-16	15
SAO PAULO	2022	flua	2022-07-23	10
SAO PAULO	2022	flua	2022-07-30	13
SAO PAULO	2022	flua	2022-08-06	16
SAO PAULO	2022	flua	2022-08-13	11
SAO PAULO	2022	flua	2022-08-20	20
SAO PAULO	2022	flua	2022-08-27	33
SAO PAULO	2022	flua	2022-09-03	64
SAO PAULO	2022	flua	2022-09-10	106
SAO PAULO	2022	flua	2022-09-17	145
SAO PAULO	2022	flua	2022-09-24	175
SAO PAULO	2022	flua	2022-10-01	183
SAO PAULO	2022	flua	2022-10-08	182
SAO PAULO	2022	flua	2022-10-15	133
SAO PAULO	2022	flua	2022-10-22	110
SAO PAULO	2022	flua	2022-10-29	68
SAO PAULO	2022	flua	2022-11-05	44
SAO PAULO	2022	flua	2022-11-12	35
SAO PAULO	2022	flua	2022-11-19	36
SAO PAULO	2022	flua	2022-11-26	25
SAO PAULO	2022	flua	2022-12-03	13
SAO PAULO	2022	flua	2022-12-10	15
SAO PAULO	2022	flua	2022-12-17	14
SAO PAULO	2022	flua	2022-12-24	10
SAO PAULO	2022	flua	2022-12-31	8
SAO PAULO	2022	flub	2022-01-08	11
SAO PAULO	2022	flub	2022-01-15	11
SAO PAULO	2022	flub	2022-01-22	4
SAO PAULO	2022	flub	2022-01-29	7
SAO PAULO	2022	flub	2022-02-05	3
SAO PAULO	2022	flub	2022-02-12	10
SAO PAULO	2022	flub	2022-02-19	2
SAO PAULO	2022	flub	2022-02-26	7
SAO PAULO	2022	flub	2022-03-05	2
SAO PAULO	2022	flub	2022-03-12	3
SAO PAULO	2022	flub	2022-03-19	3
SAO PAULO	2022	flub	2022-03-26	3
SAO PAULO	2022	flub	2022-04-02	1
SAO PAULO	2022	flub	2022-04-09	2
SAO PAULO	2022	flub	2022-04-16	2
SAO PAULO	2022	flub	2022-04-23	8
SAO PAULO	2022	flub	2022-04-30	2
SAO PAULO	2022	flub	2022-05-07	2
SAO PAULO	2022	flub	2022-05-14	6
SAO PAULO	2022	flub	2022-05-21	4
SAO PAULO	2022	flub	2022-05-28	5
SAO PAULO	2022	flub	2022-06-04	2
SAO PAULO	2022	flub	2022-06-18	3
SAO PAULO	2022	flub	2022-06-25	3
SAO PAULO	2022	flub	2022-07-02	3
SAO PAULO	2022	flub	2022-07-16	4
SAO PAULO	2022	flub	2022-07-23	2
SAO PAULO	2022	flub	2022-08-06	1
SAO PAULO	2022	flub	2022-08-13	3
SAO PAULO	2022	flub	2022-08-20	1
SAO PAULO	2022	flub	2022-08-27	1
SAO PAULO	2022	flub	2022-09-10	2
SAO PAULO	2022	flub	2022-09-24	3
SAO PAULO	2022	flub	2022-10-01	5
SAO PAULO	2022	flub	2022-10-08	10
SAO PAULO	2022	flub	2022-10-15	1
SAO PAULO	2022	flub	2022-10-22	2
SAO PAULO	2022	flub	2022-10-29	2
SAO PAULO	2022	flub	2022-11-12	2
SAO PAULO	2022	flub	2022-11-19	5
SAO PAULO	2022	flub	2022-11-26	2
SAO PAULO	2022	flub	2022-12-03	2
SAO PAULO	2022	flub	2022-12-10	1
SAO PAULO	2022	flub	2022-12-17	3
SAO PAULO	2022	flub	2022-12-24	2
SAO PAULO	2022	flub	2022-12-31	3
SAO PAULO	2022	vsr	2022-01-01	18
SAO PAULO	2022	vsr	2022-01-08	133
SAO PAULO	2022	vsr	2022-01-15	109
SAO PAULO	2022	vsr	2022-01-22	87
SAO PAULO	2022	vsr	2022-01-29	62
SAO PAULO	2022	vsr	2022-02-05	93
SAO PAULO	2022	vsr	2022-02-12	101
SAO PAULO	2022	vsr	2022-02-19	107
SAO PAULO	2022	vsr	2022-02-26	148
SAO PAULO	2022	vsr	2022-03-05	156
SAO PAULO	2022	vsr	2022-03-12	124
SAO PAULO	2022	vsr	2022-03-19	134
SAO PAULO	2022	vsr	2022-03-26	185
SAO PAULO	2022	vsr	2022-04-02	179
SAO PAULO	2022	vsr	2022-04-09	191
SAO PAULO	2022	vsr	2022-04-16	172
SAO PAULO	2022	vsr	2022-04-23	189
SAO PAULO	2022	vsr	2022-04-30	152
SAO PAULO	2022	vsr	2022-05-07	121
SAO PAULO	2022	vsr	2022-05-14	127
SAO PAULO	2022	vsr	2022-05-21	116
SAO PAULO	2022	vsr	2022-05-28	80
SAO PAULO	2022	vsr	2022-06-04	88
SAO PAULO	2022	vsr	2022-06-11	83
