epiweek_end	positives
2021-01-09	6551
2021-01-16	5985
2021-01-23	5453
2021-01-30	4992
2021-02-06	5771
2021-02-13	6191
2021-02-20	8838
2021-02-27	9910
2021-03-06	15143
2021-03-13	17089
2021-03-20	17001
2021-03-27	12956
2021-04-03	11200
2021-04-10	10403
2021-04-17	9263
2021-04-24	9478
2021-05-01	10129
2021-05-08	10354
2021-05-15	11866
2021-05-22	11895
2021-05-29	12523
2021-06-05	12659
2021-06-12	10848
2021-06-19	9007
2021-06-26	7433
2021-07-03	6282
2021-07-10	5310
2021-07-17	3915
2021-07-24	3633
2021-07-31	3103
2021-08-07	3037
2021-08-14	2176
2021-08-21	1823
2021-08-28	1620
2021-09-04	1773
2021-09-11	1601
2021-09-18	1474
2021-09-25	1364
2021-10-02	1225
2021-10-09	982
2021-10-16	920
2021-10-23	873
2021-10-30	758
2021-11-06	727
2021-11-13	641
2021-11-20	627
2021-11-27	543
2021-12-04	557
2021-12-11	764
2021-12-18	1477
2021-12-25	2259
2022-01-01	3282
2022-01-08	4972
2022-01-15	6859
2022-01-22	7534
2022-01-29	5596
2022-02-05	4212
2022-02-12	2695
2022-02-19	1597
2022-02-26	1096
2022-03-05	775
2022-03-12	508
2022-03-19	397
2022-03-26	429
2022-04-02	348
2022-04-09	398
2022-04-16	354
2022-04-23	460
2022-04-30	443
2022-05-07	575
2022-05-14	822
2022-05-21	1107
2022-05-28	1642
2022-06-04	2130
2022-06-11	2135
2022-06-18	2217
2022-06-25	2386
2022-07-02	2115
2022-07-09	1633
2022-07-16	1264
2022-07-23	875
2022-07-30	657
2022-08-06	550
2022-08-13	417
2022-08-20	397
2022-08-27	297
2022-09-03	256
2022-09-10	280
2022-09-17	302
2022-09-24	331
2022-10-01	368
2022-10-08	436
2022-10-15	444
2022-10-22	503
2022-10-29	539
2022-11-05	861
2022-11-12	1512
2022-11-19	1752
2022-11-26	1519
2022-12-03	1381
2022-12-10	1310
2022-12-17	1277
2022-12-24	1145
2022-12-31	938
2023-01-07	771
2023-01-14	618
2023-01-21	491
2023-01-28	438
2023-02-04	497
2023-02-11	638
2023-02-18	783
2023-02-25	910
2023-03-04	1069
2023-03-11	1024
2023-03-18	971
2023-03-25	964
2023-04-01	815
2023-04-08	718
2023-04-15	772
2023-04-22	655
2023-04-29	561
2023-05-06	548
2023-05-13	508
2023-05-20	549
2023-05-27	530
2023-06-03	457
2023-06-10	377
2023-06-17	328
2023-06-24	336
2023-07-01	308
2023-07-08	287
2023-07-15	252
2023-07-22	179
2023-07-29	196
2023-08-05	250
2023-08-12	250
2023-08-19	255
2023-08-26	266
2023-09-02	316
2023-09-09	335
2023-09-16	394
2023-09-23	520
2023-09-30	475
2023-10-07	663
2023-10-14	688
2023-10-21	883
2023-10-28	791
2023-11-04	634
2023-11-11	529
2023-11-18	434
2023-11-25	353
2023-12-02	268
2023-12-09	242
2023-12-16	215
2023-12-23	185
2023-12-30	185
2024-01-06	199
2024-01-13	160
2024-01-20	208
2024-01-27	292
2024-02-03	449
2024-02-10	572
2024-02-17	733
2024-02-24	981
2024-03-02	907
2024-03-09	798
2024-03-16	820
2024-03-23	729
2024-03-30	784
2024-04-06	941
2024-04-13	985
2024-04-20	1010
2024-04-27	872
2024-05-04	810
2024-05-11	673
2024-05-18	624
2024-05-25	555
2024-06-01	503
2024-06-08	579
2024-06-15	554
2024-06-22	590
2024-06-29	486
2024-07-06	477
2024-07-13	382
2024-07-20	380
2024-07-27	369
2024-08-03	325
2024-08-10	330
2024-08-17	539
2024-08-24	667
2024-08-31	637
2024-09-07	618
2024-09-14	574
2024-09-21	446
2024-09-28	427
2024-10-05	363
2024-10-12	354
2024-10-19	273
2024-10-26	244
2024-11-02	259
2024-11-09	220
2024-11-16	255
2024-11-23	251
2024-11-30	264
2024-12-07	278
2024-12-14	280
2024-12-21	296
2024-12-28	323
2025-01-04	109
