epidemiological_weeks	detecta_percentage_mean	radim_posrate_sc2	sivep_cases_sc2	radim_posrate_denv	infodengue_cases_denv	radim_posrate_vrisp	sivep_vrisp_cases	sivep_cases_sc2_norm	infodengue_cases_denv_norm	sivep_vrisp_cases_norm
2023-07-15	45.50704847156254	4.316546762589928	97	3.512396694214876	628	4.45859872611465	252	8.005427408412483	0.11800663197271685	10.823529411764705
2023-07-22	37.92341284339823	4.267963263101027	88	3.189066059225513	528	3.889318885448916	179	6.7842605156037985	0.0	2.235294117647059
2023-07-29	41.16997016197784	6.62287903667214	126	3.67965367965368	533	4.629250307251127	196	11.940298507462686	0.005900331598635843	4.235294117647059
2023-08-05	48.25336438923396	6.550218340611353	133	3.617021276595744	587	4.217340133385641	250	12.890094979647218	0.06962391286390296	10.588235294117647
2023-08-12	52.02337631745022	7.615230460921844	150	2.4122807017543857	605	4.2661153918436385	250	15.19674355495251	0.09086510661899198	10.588235294117647
2023-08-19	54.34349914398878	12.243947858472998	175	1.8648018648018647	593	5.753191489361702	255	18.588873812754407	0.07670431078226597	11.176470588235295
2023-08-26	56.663621970527345	12.456208641494744	181	2.433628318584071	591	6.122448979591836	266	19.402985074626866	0.07434417814281163	12.470588235294118
2023-09-02	53.002801120448176	16.074600355239788	227	1.9337016574585637	597	7.64872521246459	316	25.64450474898236	0.08142457606117463	18.352941176470587
2023-09-09	50.02731092436975	16.016949152542374	270	0.6423982869379015	571	7.706608078418117	335	31.47896879240163	0.05074285174826826	20.588235294117645
2023-09-16	54.18525453659725	20.490426603963723	310	0.482315112540193	650	9.795620437956204	394	36.90637720488466	0.1439680910067146	27.52941176470588
2023-09-23	49.503153474828665	25.13893429225237	422	1.1666666666666667	784	12.410675222400466	520	52.103120759837175	0.3020969778501552	42.35294117647059
2023-09-30	51.22252161734259	26.08974358974359	415	1.4705882352941175	703	12.620276112118251	475	51.153324287652644	0.20651160595225448	37.05882352941177
2023-10-07	42.1886493727926	30.540376442015788	579	1.3636363636363635	850	15.509123013537373	663	73.40569877883311	0.3799813549521483	59.1764705882353
2023-10-14	37.28641456582633	31.572038070233017	560	1.098901098901099	691	15.476013664042773	688	70.82767978290366	0.1923508101155285	62.117647058823536
2023-10-21	39.80736207526489	30.968218773096822	747	0.7874015748031495	707	16.54982473710566	883	96.20081411126186	0.21123187123116316	85.05882352941177
2023-10-28	41.86353671903544	30.129637907912382	673	0.8375209380234505	754	15.984296130117778	791	86.16010854816824	0.26669498825834015	74.23529411764706
2023-11-04	40.748355864084765	25.197072072072075	501	1.7793594306049825	633	14.038031319910516	634	62.822252374491185	0.12390696357135271	55.76470588235294
2023-11-11	41.452563634149314	20.21379980563654	431	3.34855403348554	747	10.831062670299728	529	53.324287652645864	0.25843452402024997	43.411764705882355
2023-11-18	41.13926392691464	15.637559371574715	350	4.159733777038269	700	8.962975372759256	434	42.33378561736771	0.20297140699307303	32.23529411764706
2023-11-25	42.32306093385971	13.719142047753946	244	3.8917089678511	790	8.469460227272728	353	27.951153324287652	0.30917737576851817	22.705882352941174
2023-12-02	43.50685794080478	12.894736842105264	142	5.678233438485805	920	8.331699666732014	268	14.111261872455902	0.46258599733305006	12.705882352941176
2023-12-09	44.69065494774985	11.1716621253406	133	5.158069883527454	931	7.863849765258216	242	12.890094979647218	0.47556672685004897	9.647058823529411
2023-12-16	45.87445195469492	11.45703611457036	106	5.683355886332882	938	7.377481117161426	215	9.226594301221166	0.4838271910881392	6.470588235294119
2023-12-23	46.179159628278185	10.675850193715023	100	6.657420249653259	815	8.355091383812011	185	8.412483039348711	0.3386790337616974	2.941176470588235
2023-12-30	48.68112303221683	14.008755472170106	121	10.834553440702782	942	8.401486988847584	185	11.261872455902306	0.4885474563670478	2.941176470588235
2024-01-06	51.183086436155484	13.138686131386862	128	13.319458896982312	2456	9.24625468164794	199	12.211668928086839	2.275167864433981	4.588235294117647
2024-01-13	44.68557422969188	14.962216624685135	124	14.063656550703184	3107	10.056657223796034	160	11.668928086838534	3.043391038576368	0.0
2024-01-20	49.02030812324931	20.090863200403835	160	13.75886524822695	4675	11.559633027522937	208	16.55359565807327	4.893735027908568	5.647058823529412
2024-01-27	50.91841736694678	25.331971399387132	232	16.82013505217925	7176	13.54490769549886	292	26.322930800542743	7.845080893546218	15.529411764705884
2024-02-03	49.20633905736207	29.67189728958631	362	12.163146394756009	14792	16.681338028169016	449	43.96200814111262	16.832465984588335	34.0
2024-02-10	51.2630269499104	33.219984305519226	480	10.932475884244374	21280	18.629961587708067	572	59.972862957937586	24.488736266978204	48.470588235294116
2024-02-17	47.1381350959356	32.90501385739481	594	11.700819672131148	27327	18.686762225969648	733	75.44097693351425	31.624597302368397	67.41176470588235
2024-02-24	50.26245695906821	28.16589861751152	775	16.715031921067904	34450	17.51715905699791	981	100.0	40.03020969778501	96.58823529411765
2024-03-02	49.715823285836066	24.235540800279573	632	16.46392037600221	41391	16.305448653028154	907	80.59701492537313	48.221050023011294	87.88235294117646
2024-03-09	48.978842406527825	19.988468191428023	448	21.39315515781836	48833	14.706495310871832	798	55.63093622795115	57.00310357442088	75.05882352941177
2024-03-16	51.75013068468495	14.635149023638231	362	22.90173410404624	58770	13.200464132141152	820	43.96200814111262	68.72942259354976	77.64705882352942
2024-03-23	53.68173514465075	10.669077757685352	222	29.648033126293992	75281	11.49883923389437	729	24.96607869742198	88.21349759856504	66.94117647058823
2024-03-30	46.88669163317501	7.278318810866223	166	37.960257159555816	69873	10.987060998151572	784	17.367706919945725	81.83169894148051	73.41176470588235
