wave	target	predictor	lag	p_value
wave1	sivep_cases_sc2_norm	detecta_diff	1	0.43461321947832643
wave1	sivep_cases_sc2_norm	detecta_diff	2	0.0796011936416574
wave1	sivep_cases_sc2_norm	detecta_diff	3	0.01269535826094576
wave1	sivep_cases_sc2_norm	detecta_diff	4	0.014326233026147094
wave1	sivep_cases_sc2_norm	detecta_diff	5	0.0549452384435634
wave1	radim_posrate_sc2	detecta_diff	1	0.7464932436391107
wave1	radim_posrate_sc2	detecta_diff	2	0.672818375446949
wave1	radim_posrate_sc2	detecta_diff	3	0.4429793623945155
wave1	radim_posrate_sc2	detecta_diff	4	0.3771459891282379
wave1	radim_posrate_sc2	detecta_diff	5	0.5056357404499654
wave1	infodengue_diff	detecta_diff	1	0.0554435022663984
wave1	infodengue_diff	detecta_diff	2	0.06385727951087927
wave1	infodengue_diff	detecta_diff	3	0.1549125275492657
wave1	infodengue_diff	detecta_diff	4	0.0009670283084840373
wave1	infodengue_diff	detecta_diff	5	0.024909612285227267
wave1	radim_denv_diff	detecta_diff	1	0.9711004215119627
wave1	radim_denv_diff	detecta_diff	2	0.9873570749067896
wave1	radim_denv_diff	detecta_diff	3	0.9683111372125427
wave1	radim_denv_diff	detecta_diff	4	0.7794851519977722
wave1	radim_denv_diff	detecta_diff	5	0.2497491032076483
wave1	radim_posrate_vrisp	detecta_diff	1	0.7695931514869454
wave1	radim_posrate_vrisp	detecta_diff	2	0.2273907518073418
wave1	radim_posrate_vrisp	detecta_diff	3	0.019054675748177353
wave1	radim_posrate_vrisp	detecta_diff	4	0.049496592796937994
wave1	radim_posrate_vrisp	detecta_diff	5	0.14511659219118173
wave1	sivep_vrisp_cases_norm	detecta_diff	1	0.46360374080485145
wave1	sivep_vrisp_cases_norm	detecta_diff	2	0.017473301701073408
wave1	sivep_vrisp_cases_norm	detecta_diff	3	0.004180306594805835
wave1	sivep_vrisp_cases_norm	detecta_diff	4	0.015945194296751862
wave1	sivep_vrisp_cases_norm	detecta_diff	5	0.06689709592868143
wave2	sivep_cases_sc2_norm	detecta_diff	1	0.40467842297012935
wave2	sivep_cases_sc2_norm	detecta_diff	2	0.23891899537201164
wave2	sivep_cases_sc2_norm	detecta_diff	3	0.42164921616876994
wave2	sivep_cases_sc2_norm	detecta_diff	4	0.4461952569711305
wave2	sivep_cases_sc2_norm	detecta_diff	5	0.6888107773542793
wave2	radim_posrate_sc2	detecta_diff	1	0.9223951098990968
wave2	radim_posrate_sc2	detecta_diff	2	0.843710990952423
wave2	radim_posrate_sc2	detecta_diff	3	0.7832123715279496
wave2	radim_posrate_sc2	detecta_diff	4	0.9026131992416236
wave2	radim_posrate_sc2	detecta_diff	5	0.9364709775733363
wave2	infodengue_diff	detecta_diff	1	0.653101469223312
wave2	infodengue_diff	detecta_diff	2	0.8852300078598957
wave2	infodengue_diff	detecta_diff	3	0.9795573706854459
wave2	infodengue_diff	detecta_diff	4	0.9716873726640799
wave2	infodengue_diff	detecta_diff	5	0.8716884097611697
wave2	radim_denv_diff	detecta_diff	1	0.0004391571276768369
wave2	radim_denv_diff	detecta_diff	2	0.0003168566808478112
wave2	radim_denv_diff	detecta_diff	3	0.0008786694575824765
wave2	radim_denv_diff	detecta_diff	4	0.004139811511959846
wave2	radim_denv_diff	detecta_diff	5	0.004454624705746113
wave2	radim_posrate_vrisp	detecta_diff	1	0.944254057844303
wave2	radim_posrate_vrisp	detecta_diff	2	0.8518345047289411
wave2	radim_posrate_vrisp	detecta_diff	3	0.8933936481850907
wave2	radim_posrate_vrisp	detecta_diff	4	0.895997263478335
wave2	radim_posrate_vrisp	detecta_diff	5	0.09105039875432133
wave2	sivep_vrisp_cases_norm	detecta_diff	1	0.1357798159146545
wave2	sivep_vrisp_cases_norm	detecta_diff	2	0.08571249623894811
wave2	sivep_vrisp_cases_norm	detecta_diff	3	0.17397565307585205
wave2	sivep_vrisp_cases_norm	detecta_diff	4	0.25588992551118256
wave2	sivep_vrisp_cases_norm	detecta_diff	5	0.5550579015767197
wave3	sivep_cases_sc2_norm	detecta_diff	1	0.044861187555131465
wave3	sivep_cases_sc2_norm	detecta_diff	2	0.9468204161602857
wave3	sivep_cases_sc2_norm	detecta_diff	3	0.9874560779987817
wave3	sivep_cases_sc2_norm	detecta_diff	4	0.9565624619992401
