epi_week	occupancy_%	occupancy_rolling_mean	occupancy_rolling_std	zscore_occupancy	alert_fired	zscore_SC2 (%)	zscore_SC2 (#)	zscore_Denv (%)	zscore_Denv (#)	zscore_RV (%)	zscore_RV (#)
2023-07-15	45.507				0						
2023-07-22	37.9234				0						
2023-07-29	41.17	41.5335	3.8049	-0.0955	0	1.1545	1.1247	0.8792	-0.5324	0.7834	-0.3403
2023-08-05	48.2534	43.2134	4.5761	1.1014	1	0.8383	1.0063	0.5385	0.3786	-0.2533	0.8239
2023-08-12	52.0234	44.9754	5.5882	1.2612	1	1.1569	1.212	-1.6674	0.6514	-0.0934	0.7003
2023-08-26	56.6636	46.9235	6.9103	1.4095	1	1.8251	1.5122	-1.2167	0.3083	1.9366	0.9525
2023-09-02	53.0028	48.1728	7.2711	0.6643	1	1.6141	1.5817	-1.311	0.6934	1.7227	1.4775
2023-09-09	50.0273	50.1901	5.2596	-0.0309	0	1.1276	1.5546	-1.5993	-0.3723	1.187	1.3168
2023-09-16	54.1853	52.3593	2.9895	0.6108	0	1.3522	1.4099	-1.2079	1.8508	1.4502	1.6067
2023-09-23	49.5032	52.5676	2.673	-1.1465	0	1.4493	1.6487	-0.3973	1.9246	1.5555	1.7455
2023-09-30	51.2225	52.4341	2.7251	-0.4446	0	1.2271	1.1254	0.1542	0.6577	1.2016	0.9271
2023-10-07	42.1886	50.0216	4.2259	-1.8536	0	1.3902	1.6236	0.346	1.4502	1.4649	1.6278
2023-10-14	37.2864	47.4022	6.347	-1.5938	0	1.1116	1.0641	0.1558	-0.1745	1.0417	1.2381
2023-10-21	39.8074	45.6989	6.8528	-0.8597	0	0.8053	1.5584	-0.7426	-0.3274	1.1053	1.5796
2023-10-28	41.8635	43.6453	5.5171	-0.3229	0	0.3859	0.8068	-1.0339	0.0954	0.688	0.7781
2023-11-04	40.7484	42.1861	4.7643	-0.3018	0	-1.4279	-0.6587	1.4422	-1.2277	-0.6862	-0.3938
2023-11-11	41.4526	40.5578	1.8148	0.493	0	-1.7557	-1.3192	1.887	0.228	-1.871	-1.3631
2023-11-18	41.1393	40.3829	1.671	0.4526	0	-1.5279	-1.3036	1.5133	-0.1219	-1.5214	-1.3664
2023-12-16	45.8745	41.8143	2.1089	1.9252	1	-1.3704	-1.5657	1.4811	1.8542	-1.2931	-1.5033
2023-12-23	46.1792	42.8762	2.4697	1.3374	1	-1.0578	-1.1518	1.3058	0.4836	-0.7523	-1.1801
2024-01-06	51.1831	44.4295	4.0987	1.6477	1	-0.5158	-0.7861	1.849	2.0183	-0.2348	-0.8648
2024-01-13	44.6856	45.0857	3.6859	-0.1086	0	0.1778	-0.5682	1.329	1.5729	0.7516	-0.821
2024-01-20	49.0203	46.347	3.4833	0.7675	1	1.6876	-0.0141	0.9075	1.6042	1.5967	-0.2547
2024-01-27	50.9184	47.9768	2.7751	1.06	1	1.6493	1.8437	1.1394	1.6433	1.5702	1.8374
2024-02-03	49.2063	48.5321	2.598	0.2595	0	1.4416	1.8066	-0.1876	1.8447	1.6475	1.8578
2024-02-10	51.263	49.3795	2.5044	0.7521	1	1.3018	1.6064	-1.2944	1.6411	1.4293	1.5833
2024-02-17	47.1381	48.7053	2.4659	-0.6355	0	0.9347	1.4401	-0.7236	1.459	1.0387	1.4818
2024-02-24	50.2625	49.6348	1.5157	0.4141	0	-0.0131	1.4818	1.1835	1.3936	0.4845	1.5378
2024-03-02	49.7158	49.7507	1.4856	-0.0235	0	-1.2496	0.6095	0.8309	1.3456	-0.3084	0.9407
2024-03-09	48.9788	49.4274	1.3886	-0.3231	0	-1.5625	-0.6778	1.6109	1.3758	-1.5657	0.2884
2024-03-16	51.7501	49.8514	1.6678	1.1384	1	-1.4777	-1.2578	1.2755	1.4475	-1.4942	0.1278
2024-03-23	53.6817	50.2545	2.2633	1.5143	1	-1.3297	-1.4149	1.5748	1.5859	-1.412	-0.9956
2024-03-30	46.8867	50.2126	2.3338	-1.4251	0	-1.2679	-1.138	1.6602	0.9398	-1.1666	-0.5734
2024-04-06	50.145	50.193	2.3337	-0.0206	0	-1.1497	-0.9735	0.3452	1.0888	-0.8691	1.3963
2024-04-13	49.8083	50.2084	2.3303	-0.1717	0	-1.0603	-0.9019	1.0589	1.0473	-0.8628	1.4391
2024-04-20	49.4136	50.2809	2.2908	-0.3786	0	-0.9187	-0.9425	0.5507	0.8839	-0.7779	1.1368
2024-04-27	52.0543	50.3316	2.3328	0.7385	1	-0.8633	-1.325	0.464	-0.1481	-1.1452	-0.1317
2024-05-04	49.1312	49.5732	1.6719	-0.2643	0	-0.9442	-1.1836	0.2475	0.1098	-1.9293	-0.9702
2024-05-11	50.5511	50.1839	1.0466	0.3508	0	-0.7978	-1.099	1.2321	1.4455	-1.7084	-1.6568
2024-05-18	47.1187	49.6795	1.6337	-1.5675	0	-1.4269	-0.9444	1.4644	-0.3915	-1.2811	-1.2931
2024-05-25	44.1471	48.736	2.7783	-1.6517	0	-1.2795	-0.4073	0.6318	-1.9167	-0.9908	-1.1857
2024-06-01	35.2154	46.3696	6.1212	-1.8222	0	-0.2561	-0.0746	0.288	-1.7876	-0.5219	-1.1799
2024-06-08	35.7354	43.6498	6.6893	-1.1832	0	1.2232	1.0533	-1.9865	-1.403	-0.4408	-0.4163
2024-06-15	37.5982	41.7276	6.452	-0.64	0	1.445	1.2783	-1.4094	-1.0172	0.4356	-0.458
2024-06-22	40.6483	40.0772	4.7981	0.119	0	1.4492	1.7822	-1.0218	-0.8746	-1.5297	0.5513
2024-06-29	39.8189	38.8605	3.3678	0.2846	0	1.3877	0.8689	-0.8588	-1.0688	1.5174	-1.4101
2024-07-06	40.6826	38.2831	2.4528	0.9783	1	1.369	0.9382	-0.8059	-1.3863	-0.364	-1.1107
2024-07-13	36.0114	38.4158	2.2683	-1.06	0	1.7847	0.7528	-1.5784	-1.3017	1.4272	-1.639
2024-07-20	35.0597	38.3032	2.4384	-1.3302	0	1.5761	1.8462	-1.389	-1.0267	0.0415	-1.138
2024-07-27	36.4688	38.1149	2.5449	-0.6468	0	1.5186	1.4821	-1.1842	-0.8479	0.1757	-0.9025
2024-08-03	32.4627	36.7507	3.0577	-1.4024	0	1.4768	1.2183	-1.0174	-0.9278	0.8285	-1.2185
2024-08-10	40.8055	36.9151	3.2745	1.1881	1	1.6033	1.7049	-1.1498	-0.9906	1.8777	-0.8608
2024-08-17	48.1124	38.1534	5.5785	1.7853	1	1.4461	1.8611	-1.2758	-1.2262	1.7943	1.9368
2024-08-24	50.556	40.5775	7.3427	1.359	1	1.2141	1.6229	-1.2968	-0.9031	1.5029	1.6818
2024-08-31	44.0553	42.0768	6.8955	0.2869	0	0.5386	1.0393	-0.4373	-0.9995	1.0598	1.0193
