	Unidade de Pronto Atendimento Akira Tada	UPA Paulista - Unidade de Pronto Atendimento	UPA PEDREIRA - Dr. César Antunes da Rocha	UPA Tito Lopes	UPA VICENTE MISSIANO	UPA Vila Mariana	UPA Sacadura Cabral	Unidade de Pronto Atendimento - UPA Zaíra	UPA Rudge Ramos	UPA St. John - Lavras	AMA SOROCABANA -PRONTO ATENDIMENTO	UPA Vergueiro	Unidade Avançada Carlos Chagas	UPA Vila Santa Catarina	AMA 24h Capão Redondo	UPA - Pauliceia Taboão	UPA Vila Assis
Unidade de Pronto Atendimento Akira Tada	0.0	30.65329637510363	13.68312686209051	36.50740486783012	9.285293474883156	13.948743522531148	22.964517470492687	33.92784202450124	21.259960624755905	41.14654278688938	12.791984297849268	15.071642229936774	30.246870350930624	13.524615311457497	6.580246050650662	20.836250903875214	31.06349415376202
UPA Paulista - Unidade de Pronto Atendimento	30.65329637510363	0.0	31.540314208840734	12.80530634016756	25.49389096220579	20.145475105819813	24.443106499899127	26.336308870246377	24.45100179028565	10.995511920187269	18.30578270464907	17.246319235449466	3.248557469585885	26.702152198870124	34.956153515328545	26.277933109964764	28.58975985945149
UPA PEDREIRA - Dr. César Antunes da Rocha	13.68312686209051	31.540314208840734	0.0	32.26240230267045	20.867950286447908	11.536279096569624	12.86041469082144	23.682862223293174	11.301245479089163	40.012502884964576	19.144682341041815	14.67283790400866	29.767748062230677	4.853544224153857	10.201148719477818	9.878321055287426	19.6600998482346
UPA Tito Lopes	36.50740486783012	12.80530634016756	32.26240230267045	0.0	34.176904675905384	23.046560338663504	21.02805466421806	17.340773654286338	21.9353630629904	10.705235289241426	26.41404958669424	21.435922676018482	10.026059608324747	27.715886415559133	38.915281806509064	23.85641312782172	21.289136174045222
UPA VICENTE MISSIANO	9.285293474883156	25.49389096220579	20.867950286447908	34.176904675905384	0.0	15.395560232370482	26.2970080513825	36.1714866961888	24.790985358235897	36.467195336060335	7.762968219219589	14.515159154569371	26.016057477454126	18.740659699594815	15.850912992763385	25.084208361798815	34.48715705120641
UPA Vila Mariana	13.948743522531148	20.145475105819813	11.536279096569624	23.046560338663504	15.395560232370482	0.0	10.995945358588505	20.898691758511262	9.61311443129945	29.30061564249866	9.90706335471968	3.184458804157818	18.655735927687157	6.844913679073637	15.906307378695137	10.32250657650998	19.11336343794268
UPA Sacadura Cabral	22.964517470492687	24.443106499899127	12.86041469082144	21.02805466421806	26.2970080513825	10.995945358588505	0.0	11.13985504070379	1.7215076895892456	30.345842723071378	20.704011903785556	12.95479519821811	21.761493630838288	9.79820090221944	22.130811777102213	3.0725657122828784	8.246392717166657
Unidade de Pronto Atendimento - UPA Zaíra	33.92784202450124	26.336308870246377	23.682862223293174	17.340773654286338	36.1714866961888	20.898691758511262	11.13985504070379	0.0	12.856351947825106	28.029240476387972	29.549654093478257	21.800235717166416	23.116654694673674	20.93776475259432	33.250676030535054	13.866677700160677	5.068885756731954
UPA Rudge Ramos	21.259960624755905	24.45100179028565	11.301245479089163	21.9353630629904	24.790985358235897	9.61311443129945	1.7215076895892456	12.856351947825106	0.0	30.917171746289693	19.443977178914338	11.820878182847931	21.913190748170344	8.082016620538004	20.431802705789632	1.9495923785360505	9.878337557431541
UPA St. John - Lavras	41.14654278688938	10.995511920187269	40.012502884964576	10.705235289241426	36.467195336060335	29.30061564249866	30.345842723071378	28.029240476387972	30.917171746289693	0.0	29.147306930668094	26.821952174451724	10.909857325338661	35.201586648783746	44.8940910881183	32.86487426344996	31.79494352833058
