unit	lat	lon	occupancy	geometry	lisa_cluster	lisa_p	significant	color
Unidade de Pronto Atendimento Akira Tada	-23.6147783	-46.7782171	54.49404761904761	POINT (-46.7782171 -23.6147783)	2	0.178	False	lightgrey
UPA Paulista - Unidade de Pronto Atendimento	-23.4367422	-46.5486658	62.63690476190476	POINT (-46.5486658 -23.4367422)	1	0.357	False	lightgrey
UPA PEDREIRA - Dr. César Antunes da Rocha	-23.695088	-46.6764286	62.017857142857146	POINT (-46.6764286 -23.695088)	1	0.075	False	lightgrey
UPA Tito Lopes	-23.4990094	-46.4430547	63.35119047619048	POINT (-46.4430547 -23.4990094)	4	0.366	False	lightgrey
UPA VICENTE MISSIANO	-23.5312903	-46.7763978	56.601190476190474	POINT (-46.7763978 -23.5312903)	2	0.274	False	lightgrey
UPA Vila Mariana	-23.5960015	-46.6428603	59.48809523809524	POINT (-46.6428603 -23.5960015)	1	0.303	False	lightgrey
UPA Sacadura Cabral	-23.6564181	-46.5574109	45.57142857142857	POINT (-46.5574109 -23.6564181)	3	0.146	False	lightgrey
Unidade de Pronto Atendimento - UPA Zaíra	-23.6548915	-46.4480502	51.279761904761905	POINT (-46.4480502 -23.6548915)	3	0.002	True	blue
UPA Rudge Ramos	-23.6553785	-46.5742749	52.267857142857146	POINT (-46.5742749 -23.6553785)	3	0.27	False	lightgrey
UPA St. John - Lavras	-23.4028191	-46.4474426	59.910714285714285	POINT (-46.4474426 -23.4028191)	4	0.432	False	lightgrey
AMA SOROCABANA -PRONTO ATENDIMENTO	-23.5243499	-46.7006308	52.982142857142854	POINT (-46.7006308 -23.5243499)	2	0.459	False	lightgrey
UPA Vergueiro	-23.5675198	-46.6395946	59.64699792960663	POINT (-46.6395946 -23.5675198)	1	0.313	False	lightgrey
Unidade Avançada Carlos Chagas	-23.4620263	-46.5327116	47.982142857142854	POINT (-46.5327116 -23.4620263)	2	0.088	False	lightgrey
UPA Vila Santa Catarina	-23.6567661	-46.6536116	68.30357142857143	POINT (-46.6536116 -23.6567661)	4	0.419	False	lightgrey
AMA 24h Capão Redondo	-23.6738223	-46.7738791	68.49171842650104	POINT (-46.7738791 -23.6738223)	1	0.073	False	lightgrey
UPA - Pauliceia Taboão	-23.6709515	-46.5830699	48.142857142857146	POINT (-46.5830699 -23.6709515)	3	0.384	False	lightgrey
UPA Vila Assis	-23.6868344	-46.48356	50.11309523809524	POINT (-46.48356 -23.6868344)	3	0.006	True	blue
