unit_index	unit_name	lat	lon	occupancy	geometry	lisa_cluster	lisa_p	significant	color	period_week
1	UPA Vicente Missiano	-23.5312903	-46.7763978	56.6	POINT (-46.7763978 -23.5312903)	2	0.274	False	lightgrey	2023-08-26
2	UPA Vergueiro	-23.5675198	-46.6395946	59.65	POINT (-46.6395946 -23.5675198)	1	0.313	False	lightgrey	2023-08-26
3	UPA St. John - Lavras	-23.4028191	-46.4474426	59.91	POINT (-46.4474426 -23.4028191)	4	0.432	False	lightgrey	2023-08-26
4	UPA Tito Lopes	-23.4990094	-46.4430547	63.35	POINT (-46.4430547 -23.4990094)	4	0.366	False	lightgrey	2023-08-26
5	AMA Capão Redondo	-23.6738223	-46.7738791	68.49	POINT (-46.7738791 -23.6738223)	1	0.073	False	lightgrey	2023-08-26
6	UPA Paulista	-23.4367422	-46.5486658	62.64	POINT (-46.5486658 -23.4367422)	1	0.357	False	lightgrey	2023-08-26
7	UPA Vila Santa Catarina	-23.6567661	-46.6536116	68.3	POINT (-46.6536116 -23.6567661)	4	0.419	False	lightgrey	2023-08-26
8	UPA Pauliceia Taboão	-23.6709515	-46.5830699	48.14	POINT (-46.5830699 -23.6709515)	3	0.384	False	lightgrey	2023-08-26
9	UPA Rudge Ramos	-23.6553785	-46.5742749	52.27	POINT (-46.5742749 -23.6553785)	3	0.27	False	lightgrey	2023-08-26
10	UPA Sacadura Cabral	-23.6564181	-46.5574109	45.57	POINT (-46.5574109 -23.6564181)	3	0.146	False	lightgrey	2023-08-26
11	Unidade Avançada Carlos Chagas	-23.4620263	-46.5327116	47.98	POINT (-46.5327116 -23.4620263)	2	0.088	False	lightgrey	2023-08-26
12	UPA Pedreira - Dr. César Antunes da Rocha	-23.695088	-46.6764286	62.02	POINT (-46.6764286 -23.695088)	1	0.075	False	lightgrey	2023-08-26
13	UPA Akira Tada	-23.6147783	-46.7782171	54.49	POINT (-46.7782171 -23.6147783)	2	0.178	False	lightgrey	2023-08-26
14	AMA Sorocabana - Pronto atendimento	-23.5243499	-46.7006308	52.98	POINT (-46.7006308 -23.5243499)	2	0.459	False	lightgrey	2023-08-26
15	UPA Vila Assis	-23.6868344	-46.48356	50.11	POINT (-46.48356 -23.6868344)	3	0.006	True	blue	2023-08-26
16	UPA Vila Mariana	-23.5960015	-46.6428603	59.49	POINT (-46.6428603 -23.5960015)	1	0.303	False	lightgrey	2023-08-26
17	UPA Zaíra	-23.6548915	-46.4480502	51.28	POINT (-46.4480502 -23.6548915)	3	0.002	True	blue	2023-08-26
1	UPA Vicente Missiano	-23.5312903	-46.7763978	35.78	POINT (-46.7763978 -23.5312903)	3	0.007	True	blue	2023-11-04
2	UPA Vergueiro	-23.5675198	-46.6395946	16.62	POINT (-46.6395946 -23.5675198)	3	0.296	False	lightgrey	2023-11-04
3	UPA St. John - Lavras	-23.4028191	-46.4474426	45.99	POINT (-46.4474426 -23.4028191)	1	0.459	False	lightgrey	2023-11-04
4	UPA Tito Lopes	-23.4990094	-46.4430547	47.32	POINT (-46.4430547 -23.4990094)	1	0.493	False	lightgrey	2023-11-04
5	AMA Capão Redondo	-23.6738223	-46.7738791	35.21	POINT (-46.7738791 -23.6738223)	2	0.487	False	lightgrey	2023-11-04
6	UPA Paulista	-23.4367422	-46.5486658	48.36	POINT (-46.5486658 -23.4367422)	4	0.136	False	lightgrey	2023-11-04
7	UPA Vila Santa Catarina	-23.6567661	-46.6536116	43.33	POINT (-46.6536116 -23.6567661)	1	0.094	False	lightgrey	2023-11-04
8	UPA Pauliceia Taboão	-23.6709515	-46.5830699	49.71	POINT (-46.5830699 -23.6709515)	1	0.04	True	red	2023-11-04
9	UPA Rudge Ramos	-23.6553785	-46.5742749	50.25	POINT (-46.5742749 -23.6553785)	1	0.034	True	red	2023-11-04
10	UPA Sacadura Cabral	-23.6564181	-46.5574109	55.26	POINT (-46.5574109 -23.6564181)	1	0.019	True	red	2023-11-04
11	Unidade Avançada Carlos Chagas	-23.4620263	-46.5327116	32.0	POINT (-46.5327116 -23.4620263)	3	0.35	False	lightgrey	2023-11-04
12	UPA Pedreira - Dr. César Antunes da Rocha	-23.695088	-46.6764286	44.02	POINT (-46.6764286 -23.695088)	1	0.414	False	lightgrey	2023-11-04
13	UPA Akira Tada	-23.6147783	-46.7782171	42.76	POINT (-46.7782171 -23.6147783)	4	0.141	False	lightgrey	2023-11-04
14	AMA Sorocabana - Pronto atendimento	-23.5243499	-46.7006308	28.12	POINT (-46.7006308 -23.5243499)	3	0.037	True	blue	2023-11-04
15	UPA Vila Assis	-23.6868344	-46.48356	42.02	POINT (-46.48356 -23.6868344)	1	0.034	True	red	2023-11-04
16	UPA Vila Mariana	-23.5960015	-46.6428603	39.33	POINT (-46.6428603 -23.5960015)	3	0.083	False	lightgrey	2023-11-04
17	UPA Zaíra	-23.6548915	-46.4480502	36.65	POINT (-46.4480502 -23.6548915)	2	0.005	True	lightblue	2023-11-04
