epi_week	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
2023-07-15	40.8155	43.75	53.4167	50.8155	48.1071	52.9762	53.2321	38.2262	43.9583	49.9286	48.7976	44.881	36.0774	39.0595	44.8758	45.631	39.0714
2023-07-22	34.4201	37.5476	43.3214	41.4048	37.9881	45.2083	35.5595	38.3929	36.2262	43.8494	35.2381	28.8095	34.8631	37.0476	40.6012	39.6488	34.5714
2023-07-29	38.6905	43.2381	45.9048	40.1369	43.8036	47.9762	41.3419	41.25	39.0952	40.006	44.2321	36.0238	37.7798	38.8274	43.6905	40.8393	37.0536
2023-08-05	51.4084	53.4345	48.1964	54.8214	51.2857	54.5536	47.25	51.8869	40.006	43.2738	43.2976	44.0417	47.3929	44.2143	52.625	48.4048	44.2143
2023-08-12	53.5588	60.0952	52.9643	57.7976	56.6845	56.9167	62.0774	47.5655	45.6726	41.1845	44.744	59.4571	51.8051	48.9762	48.3452	51.868	44.6845
2023-08-26	56.6012	59.647	59.9107	63.3512	68.4917	62.6369	68.3036	48.1429	52.2679	45.5714	47.9821	62.0179	54.494	52.9821	50.1131	59.4881	51.2798
2023-09-02	55.2321	51.9226	60.4583	61.1548	66.6845	61.9226	63.6131	39.9464	42.2917	44.0655	39.7857	59.6726	46.9464	53.375	49.2321	56.8988	47.8452
2023-09-09	52.4454	50.0357	57.6369	57.9524	65.5893	59.4405	60.8036	32.9374	39.5952	41.9286	35.869	54.881	49.0	47.5119	47.4643	46.4922	50.881
2023-09-16	58.3929	50.6786	60.3452	58.6607	66.7917	63.4643	66.4821	35.1289	44.7738	47.7321	41.2381	59.9286	55.2143	51.994	49.7024	56.9107	53.7109
2023-09-23	53.9643	48.7262	57.5417	55.1548	61.5833	57.5131	56.2976	36.1071	39.0952	42.6488	37.6429	55.7738	50.0655	45.4226	46.0595	49.6104	48.3468
2023-09-30	58.9167	49.8988	62.0893	59.5476	58.4405	56.6488	54.8126	41.0952	42.5357	50.9226	41.5774	50.8452	55.0595	46.6071	45.7143	48.9226	47.1488
2023-10-07	58.369	46.0476	47.8214	51.0357	37.3631	44.6131	41.8988	39.8797	39.2321	45.4107	43.7976	30.7202	50.0238	31.4702	34.1012	42.8631	32.5595
2023-10-14	56.6131	42.2321	37.869	47.4226	31.8929	37.506	42.75	38.369	35.4762	38.3155	32.4821	26.6845	44.4286	25.3095	29.7143	41.1131	25.6905
2023-10-21	39.1071	43.1607	40.7495	47.4956	32.0179	45.375	46.0	45.4086	44.0655	42.3512	40.1012	33.7321	43.0833	25.4821	34.5952	44.3214	29.6786
2023-10-28	43.75	40.8393	43.494	46.3571	33.1964	46.875	46.25	50.7321	51.3333	48.9643	37.6548	34.2619	45.5952	28.1607	36.9583	44.3393	32.9182
2023-11-04	35.7798	16.6209	45.994	47.3214	35.2083	48.3631	43.3274	49.7143	50.25	55.256	32.0	44.0179	42.756	28.119	42.0179	39.3274	36.6488
2023-11-11	40.0476	15.1548	46.4464	41.9878	37.506	48.7024	43.6102	44.8716	54.699	57.9167	32.3641	43.6845	40.8452	29.7798	46.9167	41.9286	38.2321
2023-11-18	28.1434	17.7197	42.4702	45.3571	46.0893	44.994	45.1845	45.2202	58.7262	49.8512	32.2262	53.4679	39.6488	34.3063	39.6682	37.7262	38.568
2023-12-16	48.381	58.9167	47.8597	45.8869	45.6786	46.131	52.625	38.0179	45.3512	44.0833	40.631	37.9286	51.5893	48.0298	44.5536	44.8333	39.369
2023-12-23	45.0019	36.3452	51.4583	48.7917	50.5655	51.0643	56.2357	42.8125	46.503	41.6884	41.8762	32.5714	49.6074	53.554	46.244	41.869	48.8571
2024-01-06	39.3506	36.8214	60.8452	56.8036	52.7262	56.6786	58.8631	57.125	54.1131	51.4821	47.75	48.244	48.8452	49.8095	55.0357	50.3571	45.2619
2024-01-13	37.9107	42.9286	45.2381	54.8393	43.875	47.3214	47.7976	50.994	45.8631	45.9405	43.631	41.4762	45.0714	41.0476	46.7857	40.8393	38.0952
2024-01-20	45.5952	65.0655	48.1131	55.9524	46.6786	56.3869	49.6429	49.2679	50.1012	49.25	40.756	47.2619	47.256	44.5119	50.6964	47.0952	39.7143
2024-01-27	53.4821	80.1726	48.756	57.5238	47.3631	55.5357	48.6964	48.0	49.5	50.6429	47.8929	48.75	44.2857	46.375	50.0119	50.0179	38.6071
2024-02-03	52.125	77.0298	49.256	53.9583	45.119	53.119	49.9226	42.506	50.4702	47.1369	45.9055	44.5536	48.7976	39.9583	45.1369	51.257	40.256
2024-02-10	42.6276	79.0187	69.1905	57.5137	53.9405	52.3333	48.0952	44.9643	54.9881	50.5298	47.631	45.5655	49.8672	42.1054	43.625	50.5595	38.9161
2024-02-17	35.0655	72.3961	67.2976	52.4048	45.7457	52.7798	44.619	45.6617	48.9702	48.0179	42.7218	43.5238	40.0476	37.8452	42.9027	44.043	37.3059
2024-02-24	26.2619	59.9345	58.1726	58.0341	57.25	59.2262	52.5714	47.1369	58.6905	59.0714	39.381	45.619	56.0067	45.4573	45.666	45.9048	40.0774
2024-03-02	29.3512	54.4226	56.119	54.4583	53.494	57.5417	52.8631	48.537	58.0357	54.3214	42.3214	50.1607	52.5655	45.0298	52.3424	44.1964	39.4086
2024-03-09	25.6071	47.2798	39.2878	61.5298	55.9226	55.2679	50.9821	50.2798	55.2189	48.8512	41.6053	50.8274	53.7857	48.925	51.7402	47.2857	48.244
2024-03-16	36.1964	52.5595	37.494	64.0536	56.5	57.7143	53.1786	53.1633	55.9048	52.4048	47.9405	45.494	53.75	53.7831	58.2626	49.0515	52.3012
2024-03-23	34.2976	56.119	38.6667	67.0132	59.994	62.5595	59.6358	55.006	56.75	52.9048	54.5179	51.2202	52.3631	49.8036	61.1488	50.0893	50.5
2024-03-30	31.506	50.1374	48.25	59.6568	50.7917	50.0119	46.5738	47.1845	47.2917	44.4741	40.7143	44.6131	46.625	43.9881	52.7018	43.756	48.7976
2024-04-06	38.1429	47.2202	54.0357	59.6964	54.5893	52.2619	49.4881	47.619	48.9345	52.0655	50.4762	42.9881	48.7976	51.506	53.381	49.6488	51.6131
2024-04-13	36.75	48.7679	53.2443	54.8036	50.6429	53.4464	51.361	49.2508	51.4167	51.6429	50.625	43.9345	48.9974	54.131	51.6488	49.4464	46.631
2024-04-20	36.2202	50.619	55.4345	57.1667	52.6964	54.2202	47.3333	49.6488	51.1845	56.4762	42.6012	40.4583	47.6131	54.9464	47.5893	47.3227	48.5
2024-04-27	35.125	54.8512	62.0893	57.7976	55.5595	55.7024	51.4702	50.2083	55.7024	58.2262	41.4821	45.0952	49.5238	56.5655	50.1607	56.9405	48.4226
2024-05-04	36.1488	51.256	59.7202	59.9583	49.0952	51.1936	50.4583	50.4464	46.9464	54.756	39.418	43.1429	49.131	53.0774	48.8333	47.6786	43.9702
2024-05-11	45.1774	49.7738	62.2738	58.1667	49.631	58.6607	55.244	50.4048	44.0774	51.7262	42.3631	46.1548	49.4881	51.5238	51.494	47.4524	45.756
2024-05-18	45.9226	50.4583	60.0595	47.1548	47.5119	53.3214	50.6607	43.5	43.3571	50.1369	38.0893	44.6845	46.0238	44.4226	45.119	46.75	43.8452
2024-05-25	45.1786	39.4762	46.4107	40.5952	47.244	47.5774	50.3036	43.4107	43.5774	44.4821	37.9405	44.3214	48.619	43.9464	45.1131	43.2143	39.0893
2024-06-01	30.7526	34.7686	36.029	34.5373	41.8494	34.3285	39.2562	36.6445	38.803	34.4378	25.3297	35.7652	38.5554	35.648	33.8222	36.8341	31.301
2024-06-08	29.9821	32.631	32.5241	31.1294	43.3512	37.9762	41.0974	35.8155	38.9583	36.6959	28.6918	36.8982	37.3452	35.3869	34.3333	40.5119	34.1726
2024-06-15	22.9894	35.5	40.3512	34.6905	45.9107	40.7798	42.7381	37.9405	44.8512	43.0417	25.1832	40.0417	37.8225	34.5247	36.5179	40.381	35.9048
2024-06-22	24.9345	43.4345	46.1429	37.75	43.4821	44.9286	43.4226	45.631	48.5476	45.994	29.5238	41.7588	36.2262	35.1131	45.4226	42.6548	36.0536
2024-06-29	22.5774	48.3988	42.8737	38.0774	42.619	42.631	40.8869	41.0714	46.5119	46.0595	39.6548	38.1488	35.5893	32.7976	38.6964	42.1726	38.1548
2024-07-06	37.7478	49.9405	45.7857	39.3214	41.9167	40.6012	41.1667	40.3929	41.4405	37.7857	44.006	38.6667	35.6131	40.8512	38.6429	38.1845	39.5417
2024-07-13	38.8155	49.4308	37.2689	35.2262	38.5357	37.4583	35.3988	31.6786	34.756	35.7381	35.0357	34.4464	31.4226	33.1488	32.8387	35.5655	35.4286
2024-07-20	35.7619	45.4881	34.4643	35.5	36.3155	35.9524	37.9218	31.0655	34.0417	36.4762	35.2917	30.9702	33.3036	35.4364	33.0709	35.2202	29.7343
2024-07-27	38.6055	36.2679	39.6607	38.6607	39.881	37.5714	41.7679	37.5179	38.119	34.1607	31.8631	38.8214	31.8512	36.8631	28.9167	36.6615	32.7798
2024-08-03	37.826	30.5893	35.631	35.9891	38.4702	32.1667	33.4731	32.869	35.6786	34.6786	31.8722	34.8869	23.6607	32.0714	24.6071	29.9617	27.434
2024-08-10	31.3798	41.0833	43.0655	45.9762	46.5952	48.118	47.4643	41.7202	44.1964	43.0893	37.8155	38.662	39.4405	39.4286	34.0468	38.3317	33.2798
2024-08-17	30.0833	47.0119	46.744	51.375	54.7619	56.6369	57.7738	50.125	51.8988	52.881	47.881	44.7619	48.7917	44.5357	41.6369	43.2684	47.744
2024-08-24	32.8097	54.3925	52.1731	52.7563	57.6245	59.9601	56.3415	51.297	53.4516	52.5913	51.8453	46.3183	54.6144	40.9321	48.9043	44.6152	48.8257
2024-08-31	30.4585	51.2067	51.4432	48.6762	44.691	46.9146	46.0589	41.4485	49.2373	47.3256	38.5651	38.0427	46.7594	40.1873	43.8532	39.8381	44.2343
2024-09-07	26.7024	46.6667	49.6845	49.2945	45.8036	49.6726	50.4286	44.1548	54.9226	50.131	43.2614	42.3891	49.5357	41.0039	45.7637	42.75	47.9107
2024-09-14	35.5893	51.0952	50.0298	45.9167	48.1607	45.0476	50.2381	45.4821	52.1369	47.7321	36.9643	40.2619	52.5655	43.3188	49.0833	46.6136	43.4762
2024-09-21	40.7798	47.6607	44.0357	42.3929	42.3214	44.9702	44.2976	34.631	43.1607	45.1071	31.5774	36.7272	45.4242	38.0	41.2024	39.2679	38.4762
2024-09-28	35.1667	38.7798	43.744	39.1071	43.375	46.3095	46.3095	34.6012	41.1012	43.2378	30.2679	36.631	39.9107	39.7857	37.2202	33.0476	33.6866
2024-10-05	40.5119	45.5432	45.756	38.6131	46.9107	47.131	47.4167	33.7857	42.9821	42.1964	33.0179	38.868	35.8437	42.3537	34.9684	42.6548	38.5298
2024-10-12	39.5317	44.8393	45.8353	43.7996	47.2421	55.5595	46.9365	37.3313	44.0119	48.8948	39.6293	39.7282	40.6131	35.4274	39.8016	35.0893	37.7163
